representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_property_anchor_l2,nearest_centroid,76,3,225,0.30434782608695654,0.28583877995642704,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_anchor_l2,logistic,76,3,225,0.21739130434782608,0.21428571428571427,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,nearest_centroid,76,3,469,0.2608695652173913,0.22291021671826625,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,logistic,76,3,469,0.2608695652173913,0.25396825396825395,within_genus_species,Burkholderia,69,clean,label
ckmer5_property_moment_l2,nearest_centroid,76,3,513,0.21739130434782608,0.18859649122807018,within_genus_species,Burkholderia,69,clean,label
ckmer5_property_moment_l2,logistic,76,3,513,0.2608695652173913,0.25396825396825395,within_genus_species,Burkholderia,69,clean,label
ckmer5_property_multiscale_l2,nearest_centroid,76,3,623,0.2608695652173913,0.22875816993464052,within_genus_species,Burkholderia,69,clean,label
ckmer5_property_multiscale_l2,logistic,76,3,623,0.34782608695652173,0.3300653594771242,within_genus_species,Burkholderia,69,clean,label
ckmer5_property_anchor_l2,nearest_centroid,76,3,551,0.21739130434782608,0.18859649122807018,within_genus_species,Burkholderia,69,clean,label
ckmer5_property_anchor_l2,logistic,76,3,551,0.2608695652173913,0.25396825396825395,within_genus_species,Burkholderia,69,clean,label
cspaced_property_l2,nearest_centroid,76,3,145,0.21739130434782608,0.20683760683760685,within_genus_species,Burkholderia,69,clean,label
cspaced_property_l2,logistic,76,3,145,0.13043478260869565,0.11328976034858389,within_genus_species,Burkholderia,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_l2,nearest_centroid,76,3,616,0.2608695652173913,0.22291021671826625,within_genus_species,Burkholderia,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_l2,logistic,76,3,616,0.2608695652173913,0.25396825396825395,within_genus_species,Burkholderia,69,clean,label
