representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_property_l2,CK4+P,nearest_centroid,119,4,147,0.2777777777777778,0.273762077294686,within_genus_species,Candida,69,clean,label
ckmer4_property_l2,CK4+P,logistic,119,4,147,0.25,0.2427396133278486,within_genus_species,Candida,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,119,4,222,0.2777777777777778,0.2739554154995331,within_genus_species,Candida,69,clean,label
ck4p_msp,CK4P-MSP,logistic,119,4,222,0.2222222222222222,0.22980528243686138,within_genus_species,Candida,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,119,4,222,0.2222222222222222,0.204004329004329,within_genus_species,Candida,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",logistic,119,4,222,0.2222222222222222,0.2043706293706294,within_genus_species,Candida,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,119,4,222,0.2777777777777778,0.10869565217391304,within_genus_species,Candida,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,119,4,222,0.2777777777777778,0.10869565217391304,within_genus_species,Candida,69,clean,label
ckmer4_count_l2,CK4,nearest_centroid,73,2,136,0.5909090909090909,0.5900621118012422,target_background,Candida,69,clean,target_binary
ckmer4_count_l2,CK4,logistic,73,2,136,0.5454545454545454,0.5416666666666667,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,73,2,490,0.5454545454545454,0.5416666666666667,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,73,2,490,0.5909090909090909,0.5900621118012422,target_background,Candida,69,clean,target_binary
ckmer4_property_l2,CK4+P,nearest_centroid,73,2,146,0.5909090909090909,0.5900621118012422,target_background,Candida,69,clean,target_binary
ckmer4_property_l2,CK4+P,logistic,73,2,146,0.45454545454545453,0.4358974358974359,target_background,Candida,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,73,2,222,0.5454545454545454,0.5454545454545454,target_background,Candida,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,73,2,222,0.5,0.47276688453159044,target_background,Candida,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,73,2,222,0.4090909090909091,0.4078674948240165,target_background,Candida,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",logistic,73,2,222,0.45454545454545453,0.45454545454545453,target_background,Candida,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,73,2,222,0.5454545454545454,0.35294117647058826,target_background,Candida,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",logistic,73,2,222,0.5454545454545454,0.35294117647058826,target_background,Candida,69,clean,target_binary
ckmer4_count_l2,CK4,nearest_centroid,147,5,135,0.28888888888888886,0.27812880617834174,within_genus_species,Enterobacter,69,clean,label
ckmer4_count_l2,CK4,logistic,147,5,135,0.2222222222222222,0.2048454469507101,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,147,5,507,0.24444444444444444,0.2345449744763246,within_genus_species,Enterobacter,69,clean,label
ckmer5_count_l2,CK5,logistic,147,5,507,0.26666666666666666,0.2412210012210012,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_l2,CK4+P,nearest_centroid,147,5,146,0.3111111111111111,0.2983715699505173,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_l2,CK4+P,logistic,147,5,146,0.17777777777777778,0.15377574370709382,within_genus_species,Enterobacter,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,147,5,222,0.3111111111111111,0.29782805429864256,within_genus_species,Enterobacter,69,clean,label
ck4p_msp,CK4P-MSP,logistic,147,5,222,0.24444444444444444,0.2373013415892673,within_genus_species,Enterobacter,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,147,5,222,0.2,0.17409090909090907,within_genus_species,Enterobacter,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",logistic,147,5,222,0.17777777777777778,0.17662695062075867,within_genus_species,Enterobacter,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,147,5,222,0.24444444444444444,0.11407407407407408,within_genus_species,Enterobacter,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,147,5,222,0.24444444444444444,0.11407407407407408,within_genus_species,Enterobacter,69,clean,label
ckmer4_count_l2,CK4,nearest_centroid,70,2,135,0.47619047619047616,0.4564705882352942,target_background,Enterobacter,69,clean,target_binary
ckmer4_count_l2,CK4,logistic,70,2,135,0.47619047619047616,0.4564705882352942,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,70,2,501,0.6190476190476191,0.5961538461538461,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,70,2,501,0.5238095238095238,0.5138888888888888,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_l2,CK4+P,nearest_centroid,70,2,146,0.47619047619047616,0.47139588100686497,target_background,Enterobacter,69,clean,target_binary
ckmer4_property_l2,CK4+P,logistic,70,2,146,0.47619047619047616,0.47139588100686497,target_background,Enterobacter,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,70,2,222,0.47619047619047616,0.47139588100686497,target_background,Enterobacter,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,70,2,222,0.5238095238095238,0.5138888888888888,target_background,Enterobacter,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,70,2,222,0.6666666666666666,0.6370370370370371,target_background,Enterobacter,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",logistic,70,2,222,0.6190476190476191,0.5961538461538461,target_background,Enterobacter,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,70,2,222,0.5714285714285714,0.36363636363636365,target_background,Enterobacter,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",logistic,70,2,222,0.5714285714285714,0.36363636363636365,target_background,Enterobacter,69,clean,target_binary
ckmer4_count_l2,CK4,nearest_centroid,59,2,136,0.5555555555555556,0.5555555555555556,within_genus_species,Escherichia,69,clean,label
ckmer4_count_l2,CK4,logistic,59,2,136,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,59,2,506,0.5,0.4984520123839009,within_genus_species,Escherichia,69,clean,label
ckmer5_count_l2,CK5,logistic,59,2,506,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
ckmer4_property_l2,CK4+P,nearest_centroid,59,2,146,0.5555555555555556,0.5555555555555556,within_genus_species,Escherichia,69,clean,label
ckmer4_property_l2,CK4+P,logistic,59,2,146,0.5555555555555556,0.55,within_genus_species,Escherichia,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,59,2,222,0.5555555555555556,0.5555555555555556,within_genus_species,Escherichia,69,clean,label
ck4p_msp,CK4P-MSP,logistic,59,2,222,0.3888888888888889,0.38699690402476783,within_genus_species,Escherichia,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,59,2,222,0.5555555555555556,0.5555555555555556,within_genus_species,Escherichia,69,clean,label
hash_k15_d222,"Hashed k=15, d=222",logistic,59,2,222,0.3888888888888889,0.37142857142857144,within_genus_species,Escherichia,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,59,2,222,0.5555555555555556,0.35714285714285715,within_genus_species,Escherichia,69,clean,label
rp_ck15_d222,"CK15 random projection, d=222",logistic,59,2,222,0.5555555555555556,0.35714285714285715,within_genus_species,Escherichia,69,clean,label
ckmer4_count_l2,CK4,nearest_centroid,59,2,136,0.5555555555555556,0.5555555555555556,target_background,Escherichia,69,clean,target_binary
ckmer4_count_l2,CK4,logistic,59,2,136,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,59,2,506,0.5,0.4984520123839009,target_background,Escherichia,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,59,2,506,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
ckmer4_property_l2,CK4+P,nearest_centroid,59,2,146,0.5555555555555556,0.5555555555555556,target_background,Escherichia,69,clean,target_binary
ckmer4_property_l2,CK4+P,logistic,59,2,146,0.5555555555555556,0.55,target_background,Escherichia,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,59,2,222,0.5555555555555556,0.5555555555555556,target_background,Escherichia,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,59,2,222,0.3888888888888889,0.38699690402476783,target_background,Escherichia,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,59,2,222,0.5555555555555556,0.5555555555555556,target_background,Escherichia,69,clean,target_binary
hash_k15_d222,"Hashed k=15, d=222",logistic,59,2,222,0.3888888888888889,0.37142857142857144,target_background,Escherichia,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,59,2,222,0.5555555555555556,0.35714285714285715,target_background,Escherichia,69,clean,target_binary
rp_ck15_d222,"CK15 random projection, d=222",logistic,59,2,222,0.5555555555555556,0.35714285714285715,target_background,Escherichia,69,clean,target_binary
ckmer4_count_l2,CK4,nearest_centroid,87,3,135,0.2222222222222222,0.2236842105263158,within_genus_species,Klebsiella,69,clean,label
ckmer4_count_l2,CK4,logistic,87,3,135,0.14814814814814814,0.1442495126705653,within_genus_species,Klebsiella,69,clean,label
