representation,representation_label,n_cells,paired_cosine,l2_drift,retrieval_top1,median_features
ckmer4_property_l2,CK4+P,24,0.9961159160199888,0.0779864191447316,1.0,147.0
ck4p_msp,CK4P-MSP,24,0.9893421871525495,0.12938878563022685,1.0,222.0
ckmer4_count_l2,CK4,24,0.9691770558322466,0.21957237330536675,1.0,136.0
ckmer5_count_l2,CK5,24,0.9451896083976313,0.2946905561973589,1.0,512.0
rp_ck15_d222,"CK15 random projection, d=222",24,0.8677455489690796,0.44731233549998684,1.0,222.0
hash_k15_d222,"Hashed k=15, d=222",24,0.8206962066636302,0.5239077478272472,0.9988333333333334,222.0
