length,condition,method,representation,n_pairs,n_features,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1
100,substitution_1pct,CK5,ckmer5_count_l2,2000,512,0.9623989019848396,0.8921071469733823,0.211503169262794,0.4645271122233981,1.0
100,substitution_1pct,CK5+CK4P-MSP,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.9802486931358432,0.9436498841119672,0.1532868291882898,0.3357083912934745,1.0
100,substitution_1pct,CSP,cspaced_property_l2,2000,147,0.9977803230510373,0.9933389327779674,0.0511965135315653,0.1154215418447624,1.0
69,substitution_1pct_N_3pct,CK4,ckmer4_count_l2,2000,136,0.9401824650528628,0.8772698206660012,0.3344678696667822,0.4954393727322012,1.0
69,substitution_1pct_N_3pct,CK4+P,ckmer4_property_l2,2000,147,0.991724221095492,0.984654944381934,0.1260473202788058,0.1751859330937468,1.0
69,substitution_1pct_N_3pct,"CK4P-MSP
(222-dim)",ckmer4_property_multiscale_mean_l2,2000,222,0.992427827121213,0.9861528852131592,0.1206360095339782,0.1664157796723866,1.0
69,substitution_1pct_N_3pct,"CK4P-MSP+SD
(297-dim)",ckmer4_property_multiscale_l2,2000,297,0.9919587765562912,0.9856156871109452,0.1245949667854551,0.1696131649815977,1.0
69,substitution_1pct_N_3pct,CK5,ckmer5_count_l2,2000,512,0.8981909008549565,0.8000434658248522,0.4379712268321198,0.6323867481336836,1.0
69,substitution_1pct_N_3pct,CK5+CK4P-MSP,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.9453093639880846,0.8931833187882205,0.3212975189074514,0.462204891063478,1.0
69,substitution_1pct_N_3pct,CSP,cspaced_property_l2,2000,147,0.9914455810329714,0.9842867343832624,0.1280976007239941,0.1772752727460989,1.0
75,substitution_1pct_N_3pct,CK4,ckmer4_count_l2,2000,136,0.9454498385288056,0.8877978581513154,0.3194433277088958,0.4737132170269542,1.0
75,substitution_1pct_N_3pct,CK4+P,ckmer4_property_l2,2000,147,0.9925656840552752,0.9862638423070764,0.119440965760838,0.1657477461569937,1.0
75,substitution_1pct_N_3pct,"CK4P-MSP
(222-dim)",ckmer4_property_multiscale_mean_l2,2000,222,0.9932005711106922,0.9875315303557378,0.114284538109837,0.1579143411375693,1.0
75,substitution_1pct_N_3pct,"CK4P-MSP+SD
(297-dim)",ckmer4_property_multiscale_l2,2000,297,0.9927845428323296,0.98706835595256,0.1179976901921585,0.1608206706001796,1.0
75,substitution_1pct_N_3pct,CK5,ckmer5_count_l2,2000,512,0.9048792763234428,0.8093563741493714,0.4229785971879155,0.6174846165594028,1.0
75,substitution_1pct_N_3pct,CK5+CK4P-MSP,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.9490399237170676,0.8987238847834291,0.3098814562978085,0.4500580077217024,1.0
75,substitution_1pct_N_3pct,CSP,cspaced_property_l2,2000,147,0.9922085051588718,0.9855767240178784,0.1221266398250155,0.1698427075041247,1.0
100,substitution_1pct_N_3pct,CK4,ckmer4_count_l2,2000,136,0.9478398801788868,0.9001772612042855,0.3148922532862289,0.4468170451802392,1.0
100,substitution_1pct_N_3pct,CK4+P,ckmer4_property_l2,2000,147,0.99257090896517,0.9874491712830772,0.1201930447897453,0.1584350193959356,1.0
100,substitution_1pct_N_3pct,"CK4P-MSP
(222-dim)",ckmer4_property_multiscale_mean_l2,2000,222,0.993209101359324,0.9885481597754554,0.1149514895652336,0.1513396195217295,1.0
100,substitution_1pct_N_3pct,"CK4P-MSP+SD
(297-dim)",ckmer4_property_multiscale_l2,2000,297,0.992757388661374,0.9880858948401544,0.1189105319809398,0.1543638892526413,1.0
100,substitution_1pct_N_3pct,CK5,ckmer5_count_l2,2000,512,0.9023150925767076,0.8228670135310541,0.4322341589750038,0.595202455757165,1.0
100,substitution_1pct_N_3pct,CK5+CK4P-MSP,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.9477620969680158,0.9058916761096611,0.3163186892224873,0.4338394250852566,1.0
100,substitution_1pct_N_3pct,CSP,cspaced_property_l2,2000,147,0.9923054083752132,0.9872762417026304,0.1223096657265924,0.1595227757662179,1.0
