representation,paired cosine,L2 drift,readout macro-F1,features
CK4,0.969,0.218,0.390,136
CK4+P,0.996,0.078,0.397,147
CK4P-MSP,0.989,0.129,0.401,222
CK5,0.946,0.293,0.377,512
