target_label,length,condition,comparator,absolute_f1_difference,absolute_ci_low,absolute_ci_high,relative_drop_difference,relative_drop_ci_low,relative_drop_ci_high
tax_434085,69,N_3pct,ck4,0.018630031037027983,0.008379638771692727,0.02830501826048405,0.03041026610226827,0.019333588678375334,0.04303017515363248
tax_434085,69,N_3pct,ck4_p,0.006749817635124056,0.0007377944051498249,0.013009299963191678,0.010938055829193494,0.003601278048165099,0.018277593233278613
tax_434085,69,N_3pct,ck4_msp,0.014021680876936005,0.005666024964052788,0.02176987838999897,0.017800034961493294,0.008575081013196048,0.026142279461216795
tax_434085,69,N_3pct,ck5,-0.007438230586647165,-0.020478271654308596,0.007139781527440659,0.006457760525290901,-0.009241131781917893,0.02120612191414724
tax_434085,69,N_3pct,pseknc_k3_l3,0.013599305452830501,-0.0008848419683006977,0.029462633083508525,0.008559188640322457,-0.008731818947543277,0.024665817251849576
tax_434085,69,N_3pct,pseeiip,0.027765506241450244,0.012667242523745816,0.042376934733748546,0.026155903987248874,0.007389958092055841,0.041553606363569175
tax_434085,69,clean,ck4,0.011729527435789144,0.0032311541107212156,0.021223163391770886,0.02350976250102943,0.013062792984738692,0.03498066279280476
tax_434085,69,clean,ck4_p,0.001423573874819506,-0.003628247878768267,0.007451158129789863,0.005611812068888944,-0.001663369079289531,0.015009380463985821
tax_434085,69,clean,ck4_msp,0.0027583634429094728,-0.002442279406531178,0.008956170488385722,0.006536717527466762,-0.0008840517246195081,0.014179228218792366
tax_434085,69,clean,ck5,-0.0016021498436351589,-0.01161444492492307,0.009172941579970199,0.012293841268302907,-0.0026758853238286243,0.027033367809815502
tax_434085,69,clean,pseknc_k3_l3,0.01634370524945694,0.0037787785410135087,0.030862172829962176,0.011303588436948897,-0.0037426140559236208,0.02789152772687963
tax_434085,69,clean,pseeiip,0.017395545138994772,0.001075711912215086,0.03390156356721804,0.015785942884793402,-0.001690548106271483,0.03192726426376576
tax_434085,69,substitution_1pct,ck4,0.007364140584409706,-0.0005217506530039713,0.016273235834159242,0.01914437564964999,0.008334160077523425,0.030473965459674297
tax_434085,69,substitution_1pct,ck4_p,-0.00027291533192119743,-0.005935011432458895,0.005144164615220476,0.0039153228621482405,-0.0028192416326164897,0.010734076877925764
tax_434085,69,substitution_1pct,ck4_msp,0.0031464776946315,-0.002960531596839261,0.008276793557214463,0.006924831779188789,-0.0006327522664673094,0.013236376415867675
tax_434085,69,substitution_1pct,ck5,-0.003085701826368803,-0.01737259972687949,0.007596144974388529,0.010810289285569263,-0.005406451874089116,0.02586678444692437
tax_434085,69,substitution_1pct,pseknc_k3_l3,0.009553189306101051,-0.005309098136714921,0.02495014898433038,0.004513072493593007,-0.012060362081820245,0.021789303229109384
tax_434085,69,substitution_1pct,pseeiip,0.012407684051961354,-0.0045880133875444784,0.029298120334506808,0.010798081797759984,-0.005787598473643246,0.028019167481775138
tax_434085,75,N_3pct,ck4,0.006636774586323502,-0.004494610349717959,0.013879404228354176,0.018417009651563787,0.006425011127392588,0.02818630567230968
tax_434085,75,N_3pct,ck4_p,0.0003021647476005862,-0.005243757220402293,0.0061780165541102635,0.004490402941670024,-0.0025033327365927894,0.010841972052740831
tax_434085,75,N_3pct,ck4_msp,0.005016373247676342,-0.0021813661613641925,0.012083737146189079,0.008794727332233632,0.0006103119461074702,0.017750028947508614
tax_434085,75,N_3pct,ck5,-0.010638065902414007,-0.024081807122760184,0.0019153276958549404,0.0032579252095240596,-0.01225841555186128,0.017743415298648393
tax_434085,75,N_3pct,pseknc_k3_l3,0.0011132914333469301,-0.015981692264997443,0.015360619535399911,-0.003926825379161114,-0.02152498815683383,0.013848198745649824
tax_434085,75,N_3pct,pseeiip,0.014557860856840854,-0.002456477350113509,0.028352498518817593,0.012948258602639484,-0.00552748863868947,0.02642934754088534
tax_434085,75,clean,ck4,0.001219454242317508,-0.00706955035825377,0.00992733568174301,0.012999689307557794,0.002641533289291759,0.024930384063036767
tax_434085,75,clean,ck4_p,0.0009914944166317108,-0.0035729631325281284,0.006335900684231541,0.005179732610701149,-0.0023522566845712496,0.012659121203466048
tax_434085,75,clean,ck4_msp,0.0014725075493194906,-0.003492999652671369,0.0061903174843321055,0.00525086163387678,-0.0019387391777190871,0.011617326228653987
tax_434085,75,clean,ck5,-0.004128506563698009,-0.017138731561581095,0.00608194372416745,0.009767484548240057,-0.003832785266363381,0.021980143851726454
tax_434085,75,clean,pseknc_k3_l3,0.020291312424356334,0.0067029043278263225,0.03449233546714299,0.01525119561184829,-0.0005801139732458768,0.03150204166143226
tax_434085,75,clean,pseeiip,0.017897459708774877,0.002657211745866956,0.030597561300695544,0.016287857454573507,0.0007682724131516272,0.03350778481600101
