target_label,representation,representation_label,n_features,c_value,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
tax_434085,ck4,CK4,136,0.1,69,N_3pct,2400,0.7154166666666667,0.7154166666666667,0.43230704011484755,0.7149316049757583,0.8015034722222222,0.7776048183026254,,,0.7533892836339003,-0.03845767865814209,0.9489537753010698
tax_434085,ck4,CK4,136,0.1,69,clean,2400,0.7216666666666667,0.7216666666666667,0.44351138961930425,0.7216107954999302,0.8089597222222221,0.7833640526481562,,,0.7533892836339003,-0.031778488133970106,0.9578192989676072
tax_434085,ck4,CK4,136,0.1,69,substitution_1pct,2400,0.7220833333333333,0.7220833333333334,0.44453742348369135,0.7219674381630259,0.8035916666666667,0.7755715721192253,,,0.7533892836339003,-0.031421845470874454,0.9582926832734942
tax_434085,ck4,CK4,136,0.1,75,N_3pct,2400,0.7233333333333334,0.7233333333333334,0.4467417504093718,0.7233100836945326,0.8071159722222222,0.779478325970318,,,0.7533892836339003,-0.030079199939367696,0.9600748237428018
tax_434085,ck4,CK4,136,0.1,75,clean,2400,0.7241666666666666,0.7241666666666666,0.4483389376050803,0.7241649426975585,0.8163680555555556,0.7909354596166966,,,0.7533892836339003,-0.029224340936341853,0.9612095080575329
tax_434085,ck4,CK4,136,0.1,75,substitution_1pct,2400,0.7258333333333333,0.7258333333333333,0.4516723126058616,0.7258316197809569,0.8126284722222221,0.7889615134371326,,,0.7533892836339003,-0.027557663852943448,0.9634217469619136
tax_434085,ck4,CK4,136,0.1,100,N_3pct,2400,0.7479166666666667,0.7479166666666667,0.4975989682994891,0.7474694332793198,0.8284923611111111,0.8063757958289336,,,0.7533892836339003,-0.005919850354580536,0.9921423751529532
tax_434085,ck4,CK4,136,0.1,100,clean,2400,0.7545833333333334,0.7545833333333334,0.5141700694948865,0.7533892836339003,0.8383138888888888,0.814406534633537,,,0.7533892836339003,0.0,1.0
tax_434085,ck4,CK4,136,0.1,100,substitution_1pct,2400,0.7475,0.7475,0.49860295899070406,0.7465877157767965,0.8299590277777777,0.8026729883102535,,,0.7533892836339003,-0.006801567857103841,0.9909720406105366
tax_434085,ck4,CK4,136,1.0,69,N_3pct,2400,0.7079166666666666,0.7079166666666666,0.43371320430165594,0.7018986948145363,0.8170638888888889,0.7951372116928928,0.6826794858178848,0.7201675016769492,0.7776634113962102,-0.07576471658167394,0.9025738957608322
tax_434085,ck4,CK4,136,1.0,69,clean,2400,0.7216666666666667,0.7216666666666667,0.45112033772022125,0.7192646246109945,0.8258340277777778,0.8024627974199666,0.6999767211238601,0.7356696451960142,0.7776634113962102,-0.058398786785215706,0.924904803377123
tax_434085,ck4,CK4,136,1.0,69,substitution_1pct,2400,0.7220833333333333,0.7220833333333333,0.4520406358352615,0.7196630422619171,0.8198472222222223,0.7938689623147985,0.702787317208203,0.7388877310387963,0.7776634113962102,-0.05800036913429307,0.925417129976374
tax_434085,ck4,CK4,136,1.0,75,N_3pct,2400,0.7225,0.7225,0.4535572040108338,0.7198824571832345,0.8235513888888889,0.7982809964719191,0.7034834881588258,0.7376116686129394,0.7776634113962102,-0.05778095421297569,0.9256992763627181
tax_434085,ck4,CK4,136,1.0,75,clean,2400,0.74375,0.74375,0.49161833685766354,0.7426767027401618,0.8354041666666666,0.8120504101964087,0.7255382641303408,0.7591330305909991,0.7776634113962102,-0.03498670865604836,0.9550104734987679
tax_434085,ck4,CK4,136,1.0,75,substitution_1pct,2400,0.7391666666666666,0.7391666666666667,0.48320675453483836,0.7378513723368987,0.8312763888888889,0.8093151798357408,0.7201507218149383,0.752158424468847,0.7776634113962102,-0.03981203905931152,0.9488055648807839
tax_434085,ck4,CK4,136,1.0,100,N_3pct,2400,0.7633333333333333,0.7633333333333334,0.5266695926169755,0.7633326759240997,0.8542555555555555,0.8363502895787295,0.7457769952936172,0.7787516064059914,0.7776634113962102,-0.0143307354721105,0.9815720589883723
tax_434085,ck4,CK4,136,1.0,100,clean,2400,0.7779166666666667,0.7779166666666666,0.5571039346812018,0.7776634113962102,0.8656180555555556,0.8472471731044624,0.7611086239552828,0.793682189439202,0.7776634113962102,0.0,1.0
tax_434085,ck4,CK4,136,1.0,100,substitution_1pct,2400,0.7695833333333333,0.7695833333333333,0.5397338726788079,0.7694622609964434,0.8567756944444445,0.8364787154442687,0.751148769318195,0.7847422635306511,0.7776634113962102,-0.008201150399766766,0.98945411307825
tax_434085,ck4,CK4,136,10.0,69,N_3pct,2400,0.66625,0.66625,0.381224130168718,0.6450144042090094,0.8144645833333333,0.7913490314663496,,,0.7865332499478841,-0.14151884573887474,0.8200726469627929
tax_434085,ck4,CK4,136,10.0,69,clean,2400,0.6929166666666666,0.6929166666666666,0.4125755213219086,0.6829752436428811,0.8237770833333334,0.7988746501573931,,,0.7865332499478841,-0.103558006305003,0.8683361366962365
tax_434085,ck4,CK4,136,10.0,69,substitution_1pct,2400,0.6945833333333333,0.6945833333333333,0.4158599636338625,0.6847916824566468,0.8188166666666666,0.7904851472837698,,,0.7865332499478841,-0.1017415674912373,0.8706455607592194
tax_434085,ck4,CK4,136,10.0,75,N_3pct,2400,0.6895833333333333,0.6895833333333333,0.41161539480887377,0.6773676083935667,0.82124375,0.7941096006662008,,,0.7865332499478841,-0.1091656415543174,0.8612065776474793
tax_434085,ck4,CK4,136,10.0,75,clean,2400,0.7258333333333333,0.7258333333333333,0.4690884609836389,0.7207438907421082,0.8345333333333332,0.8098507142027613,,,0.7865332499478841,-0.06578935920577589,0.9163552726980899
tax_434085,ck4,CK4,136,10.0,75,substitution_1pct,2400,0.72125,0.72125,0.4599047347634346,0.7159773864506567,0.8303756944444445,0.8049859752894128,,,0.7865332499478841,-0.07055586349722742,0.9102951292880467
tax_434085,ck4,CK4,136,10.0,100,N_3pct,2400,0.7679166666666667,0.7679166666666667,0.537247146275963,0.7676112933818763,0.855823611111111,0.8360370689439351,,,0.7865332499478841,-0.018921956566007814,0.9759425853042302
tax_434085,ck4,CK4,136,10.0,100,clean,2400,0.7866666666666666,0.7866666666666666,0.5740513465556167,0.7865332499478841,0.8678479166666668,0.8487322105577003,,,0.7865332499478841,0.0,1.0
tax_434085,ck4,CK4,136,10.0,100,substitution_1pct,2400,0.7775,0.7775,0.5553734599476656,0.7774251901333504,0.8584979166666666,0.8394351619060766,,,0.7865332499478841,-0.009108059814533664,0.9884199939225238
tax_434085,ck4_p,CK4+P,147,0.1,69,N_3pct,2400,0.7058333333333333,0.7058333333333333,0.4116666666666667,0.7058333333333333,0.7896347222222224,0.7613577599424328,,,0.7370366636421682,-0.03120333030883493,0.9576638017508663
tax_434085,ck4_p,CK4+P,147,0.1,69,clean,2400,0.7179166666666666,0.7179166666666666,0.43604065333288083,0.7178496069638773,0.7956763888888888,0.7660360424329246,,,0.7370366636421682,-0.019187056678290904,0.9739672968458918
tax_434085,ck4_p,CK4+P,147,0.1,69,substitution_1pct,2400,0.7120833333333333,0.7120833333333334,0.42430827371686997,0.7120352892209968,0.790838888888889,0.7583086939043315,,,0.7370366636421682,-0.02500137442117145,0.9660785200323364
tax_434085,ck4_p,CK4+P,147,0.1,75,N_3pct,2400,0.7095833333333333,0.7095833333333333,0.41982154511737363,0.7093568233993472,0.7944131944444445,0.7618428053927159,,,0.7370366636421682,-0.027679840242820997,0.9624444188352351
tax_434085,ck4_p,CK4+P,147,0.1,75,clean,2400,0.7195833333333334,0.7195833333333332,0.43966294151066393,0.7194250715377476,0.8021256944444443,0.771805687475251,,,0.7370366636421682,-0.017611592104420648,0.9761048629285407
tax_434085,ck4_p,CK4+P,147,0.1,75,substitution_1pct,2400,0.7170833333333333,0.7170833333333333,0.43444567641773135,0.7169924859559953,0.7990125,0.7707799143326719,,,0.7370366636421682,-0.020044177686172948,0.9728043682560894
tax_434085,ck4_p,CK4+P,147,0.1,100,N_3pct,2400,0.7375,0.7375,0.48106833173290653,0.7358444417267946,0.8106097222222222,0.7835299381429455,,,0.7370366636421682,-0.0011922219153736036,0.9983824116571324
