target_label,representation,representation_label,n_features,n_variant_rows,feature_seconds,model_seconds
tax_434085,ck4,CK4,136,21600,1.6678723000004538,0.8617217999999411
tax_434085,ck4_p,CK4+P,147,21600,1.647971599995799,0.7737657000034233
tax_434085,ck4_msp,CK4+MSP,211,21600,1.7536206000004313,0.810513099997479
tax_434085,ck4p_msp,CK4P-MSP,222,21600,1.7200723000059952,0.792346300004283
tax_434085,ck5,CK5,512,21600,1.5340589999977965,0.9626147000017227
tax_434085,pseknc_k3_l3,PseKNC,67,21600,29.484039099996153,0.7412028000035207
tax_434085,pseeiip,PseEIIP,64,21600,0.6338685000009718,0.6814382000011392
tax_247639,ck4,CK4,136,21600,1.828362099993683,0.7524341999960598
tax_247639,ck4_p,CK4+P,147,21600,1.6258643999972264,0.7574460000032559
tax_247639,ck4_msp,CK4+MSP,211,21600,1.6928471999999601,0.8116924000059953
tax_247639,ck4p_msp,CK4P-MSP,222,21600,1.69236610000371,0.8538121000019601
tax_247639,ck5,CK5,512,21600,1.4689414000022225,0.9839917999997851
tax_247639,pseknc_k3_l3,PseKNC,67,21600,28.995503300000564,0.7257606999992277
tax_247639,pseeiip,PseEIIP,64,21600,0.6261935999937123,0.6744327999986126
tax_1050222,ck4,CK4,136,21600,1.6612533000006806,0.760613899998134
tax_1050222,ck4_p,CK4+P,147,21600,1.714388099993812,0.8085668999992777
tax_1050222,ck4_msp,CK4+MSP,211,21600,1.7563972999996622,0.8419480999946245
tax_1050222,ck4p_msp,CK4P-MSP,222,21600,1.7446800000034273,1.0410421000051429
tax_1050222,ck5,CK5,512,21600,1.6367824000044493,1.074927800000296
tax_1050222,pseknc_k3_l3,PseKNC,67,21600,31.403196999999636,0.9182214999964344
tax_1050222,pseeiip,PseEIIP,64,21600,0.6197272999997949,0.7953397999954177
tax_552396,ck4,CK4,136,21600,1.7445049000016297,0.8464084000006551
tax_552396,ck4_p,CK4+P,147,21600,1.8132045999955153,0.8451387000022805
tax_552396,ck4_msp,CK4+MSP,211,21600,1.9443102000004728,0.9428047000037623
tax_552396,ck4p_msp,CK4P-MSP,222,21600,1.7725315999996383,0.9355047000062768
tax_552396,ck5,CK5,512,21600,1.5984326999969198,1.151153599996178
tax_552396,pseknc_k3_l3,PseKNC,67,21600,31.85845899999549,0.8007556000011391
tax_552396,pseeiip,PseEIIP,64,21600,0.6758258000045316,0.7058863999991445
tax_1122939,ck4,CK4,136,21600,1.7940558999980567,0.9468208000034792
tax_1122939,ck4_p,CK4+P,147,21600,1.6933454999962123,0.7900464000049396
tax_1122939,ck4_msp,CK4+MSP,211,21600,1.8684609000047203,0.9217481000014232
tax_1122939,ck4p_msp,CK4P-MSP,222,21600,1.7042228000063915,0.9223271000009845
tax_1122939,ck5,CK5,512,21600,1.6413859000022057,1.2223964000004344
tax_1122939,pseknc_k3_l3,PseKNC,67,21600,32.752415399998426,1.045094600005541
tax_1122939,pseeiip,PseEIIP,64,21600,0.6943950999993831,0.7764738999976544
tax_1097667,ck4,CK4,136,21600,1.7877069999958621,0.729771799997252
tax_1097667,ck4_p,CK4+P,147,21600,1.9871399999974528,1.06237659999897
tax_1097667,ck4_msp,CK4+MSP,211,21600,1.9497305999975652,0.9829909999971278
tax_1097667,ck4p_msp,CK4P-MSP,222,21600,1.7660318999987794,0.9264652999991085
tax_1097667,ck5,CK5,512,21600,1.5974255000037374,1.1357593000066117
tax_1097667,pseknc_k3_l3,PseKNC,67,21600,32.788449800005765,0.843994399998337
tax_1097667,pseeiip,PseEIIP,64,21600,0.6313470999957644,0.7680989000000409
