split,classifier,accuracy,macro_f1,n_features,task,length,condition,representation,n_samples,n_classes,accuracy_std,macro_f1_std
holdout,logistic,0.9375,0.9372549019607843,345,same_spectrum_order,69,N_3pct,property_channels,160,2,,
5fold_cv,nearest_centroid,0.9375,0.9374755620723363,345,same_spectrum_order,69,N_3pct,property_channels,160,2,0.04419417382415922,0.044202827447072296
5fold_cv,logistic,0.95625,0.9562316715542523,345,same_spectrum_order,69,N_3pct,property_channels,160,2,0.015309310892394862,0.015294345779108078
holdout,nearest_centroid,0.9166666666666666,0.916083916083916,690,same_spectrum_order,69,N_3pct,base_property,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,690,same_spectrum_order,69,N_3pct,base_property,160,2,,
5fold_cv,nearest_centroid,0.96875,0.9686826519464091,690,same_spectrum_order,69,N_3pct,base_property,160,2,0.01976423537605237,0.01984179337222768
5fold_cv,logistic,0.975,0.9749755620723363,690,same_spectrum_order,69,N_3pct,base_property,160,2,0.0125,0.012512218963831857
holdout,nearest_centroid,0.9375,0.9372549019607843,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,,
5fold_cv,nearest_centroid,0.9625,0.9624265424644932,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,0.012499999999999999,0.012585820251854417
5fold_cv,logistic,0.9875,0.9874877810361682,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.9166666666666666,0.916083916083916,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,,
5fold_cv,nearest_centroid,0.9625,0.9624387614283251,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,0.023385358667337132,0.023434629953320282
5fold_cv,logistic,0.9875,0.9874877810361682,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.9583333333333334,0.9582608695652174,201,same_spectrum_order,69,N_3pct,ckmer5_count_l2,160,2,,
holdout,logistic,0.9375,0.9372549019607843,201,same_spectrum_order,69,N_3pct,ckmer5_count_l2,160,2,,
5fold_cv,nearest_centroid,0.9875,0.9874877810361682,201,same_spectrum_order,69,N_3pct,ckmer5_count_l2,160,2,0.015309310892394862,0.015324276005681649
5fold_cv,logistic,0.98125,0.9812316715542522,201,same_spectrum_order,69,N_3pct,ckmer5_count_l2,160,2,0.015309310892394862,0.015324276005681646
holdout,nearest_centroid,0.8333333333333334,0.8333333333333334,1040,same_spectrum_order,69,N_3pct,kmer_property,160,2,,
holdout,logistic,0.9375,0.9374728614850196,1040,same_spectrum_order,69,N_3pct,kmer_property,160,2,,
5fold_cv,nearest_centroid,0.88125,0.8804162239608487,1040,same_spectrum_order,69,N_3pct,kmer_property,160,2,0.05728219618694799,0.05795807497679872
5fold_cv,logistic,0.95,0.9499877810361681,1040,same_spectrum_order,69,N_3pct,kmer_property,160,2,0.0701560760020114,0.07015281186674502
holdout,nearest_centroid,1.0,1.0,193,same_spectrum_order,100,clean,ckmer4_property_multiscale_mean_l2,160,2,,
holdout,logistic,1.0,1.0,193,same_spectrum_order,100,clean,ckmer4_property_multiscale_mean_l2,160,2,,
5fold_cv,nearest_centroid,1.0,1.0,193,same_spectrum_order,100,clean,ckmer4_property_multiscale_mean_l2,160,2,0.0,0.0
5fold_cv,logistic,1.0,1.0,193,same_spectrum_order,100,clean,ckmer4_property_multiscale_mean_l2,160,2,0.0,0.0
holdout,nearest_centroid,1.0,1.0,500,same_spectrum_order,100,clean,one_hot,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,500,same_spectrum_order,100,clean,one_hot,160,2,,
5fold_cv,nearest_centroid,0.9875,0.987450980392157,500,same_spectrum_order,100,clean,one_hot,160,2,0.024999999999999998,0.025098039215686273
5fold_cv,logistic,0.99375,0.9937438905180841,500,same_spectrum_order,100,clean,one_hot,160,2,0.012499999999999999,0.012512218963831857
holdout,nearest_centroid,0.9791666666666666,0.9791576204950065,500,same_spectrum_order,100,clean,property_channels,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,500,same_spectrum_order,100,clean,property_channels,160,2,,
5fold_cv,nearest_centroid,0.96875,0.9686458513023979,500,same_spectrum_order,100,clean,property_channels,160,2,0.02795084971874737,0.028060485025700417
5fold_cv,logistic,0.98125,0.9811948709102409,500,same_spectrum_order,100,clean,property_channels,160,2,0.024999999999999998,0.02508886435764375
holdout,nearest_centroid,0.9791666666666666,0.9791576204950065,1000,same_spectrum_order,100,clean,base_property,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1000,same_spectrum_order,100,clean,base_property,160,2,,
5fold_cv,nearest_centroid,0.9875,0.987450980392157,1000,same_spectrum_order,100,clean,base_property,160,2,0.024999999999999998,0.025098039215686273
5fold_cv,logistic,0.9875,0.987450980392157,1000,same_spectrum_order,100,clean,base_property,160,2,0.024999999999999998,0.025098039215686273
holdout,nearest_centroid,1.0,1.0,1600,same_spectrum_order,100,clean,rope_onehot,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1600,same_spectrum_order,100,clean,rope_onehot,160,2,,
5fold_cv,nearest_centroid,0.98125,0.9810837438423645,1600,same_spectrum_order,100,clean,rope_onehot,160,2,0.037500000000000006,0.03783251231527096
5fold_cv,logistic,0.99375,0.9937438905180841,1600,same_spectrum_order,100,clean,rope_onehot,160,2,0.012499999999999999,0.012512218963831857
holdout,nearest_centroid,1.0,1.0,1600,same_spectrum_order,100,clean,rope_property,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1600,same_spectrum_order,100,clean,rope_property,160,2,,
5fold_cv,nearest_centroid,0.975,0.9748276343604486,1600,same_spectrum_order,100,clean,rope_property,160,2,0.03644344934278313,0.03675826808302772
5fold_cv,logistic,0.99375,0.9937438905180841,1600,same_spectrum_order,100,clean,rope_property,160,2,0.012499999999999999,0.012512218963831857
holdout,nearest_centroid,1.0,1.0,201,same_spectrum_order,100,clean,ckmer5_count_l2,160,2,,
holdout,logistic,1.0,1.0,201,same_spectrum_order,100,clean,ckmer5_count_l2,160,2,,
5fold_cv,nearest_centroid,1.0,1.0,201,same_spectrum_order,100,clean,ckmer5_count_l2,160,2,0.0,0.0
5fold_cv,logistic,1.0,1.0,201,same_spectrum_order,100,clean,ckmer5_count_l2,160,2,0.0,0.0
holdout,nearest_centroid,0.9791666666666666,0.9791576204950065,1536,same_spectrum_order,100,clean,kmer_property,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1536,same_spectrum_order,100,clean,kmer_property,160,2,,
5fold_cv,nearest_centroid,0.9375,0.9372917026047956,1536,same_spectrum_order,100,clean,kmer_property,160,2,0.06555055301063448,0.06582517111404543
5fold_cv,logistic,0.9875,0.9874877810361682,1536,same_spectrum_order,100,clean,kmer_property,160,2,0.015309310892394862,0.015324276005681646
holdout,nearest_centroid,1.0,1.0,193,same_spectrum_order,100,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,,
holdout,logistic,1.0,1.0,193,same_spectrum_order,100,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,,
5fold_cv,nearest_centroid,0.9875,0.9874877810361682,193,same_spectrum_order,100,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,0.015309310892394862,0.015324276005681649
5fold_cv,logistic,1.0,1.0,193,same_spectrum_order,100,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,0.0,0.0
holdout,nearest_centroid,1.0,1.0,500,same_spectrum_order,100,N_3pct,one_hot,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,500,same_spectrum_order,100,N_3pct,one_hot,160,2,,
5fold_cv,nearest_centroid,0.9875,0.987450980392157,500,same_spectrum_order,100,N_3pct,one_hot,160,2,0.024999999999999998,0.025098039215686273
5fold_cv,logistic,0.99375,0.9937438905180841,500,same_spectrum_order,100,N_3pct,one_hot,160,2,0.012499999999999999,0.012512218963831857
holdout,nearest_centroid,0.9791666666666666,0.9791576204950065,500,same_spectrum_order,100,N_3pct,property_channels,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,500,same_spectrum_order,100,N_3pct,property_channels,160,2,,
5fold_cv,nearest_centroid,0.96875,0.9685715248785327,500,same_spectrum_order,100,N_3pct,property_channels,160,2,0.03423265984407288,0.03453641187417859
5fold_cv,logistic,0.98125,0.9811948709102409,500,same_spectrum_order,100,N_3pct,property_channels,160,2,0.024999999999999998,0.02508886435764375
holdout,nearest_centroid,0.9791666666666666,0.9791576204950065,1000,same_spectrum_order,100,N_3pct,base_property,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1000,same_spectrum_order,100,N_3pct,base_property,160,2,,
5fold_cv,nearest_centroid,0.98125,0.9811948709102409,1000,same_spectrum_order,100,N_3pct,base_property,160,2,0.024999999999999998,0.02508886435764375
5fold_cv,logistic,0.9875,0.987450980392157,1000,same_spectrum_order,100,N_3pct,base_property,160,2,0.024999999999999998,0.025098039215686273
holdout,nearest_centroid,1.0,1.0,1600,same_spectrum_order,100,N_3pct,rope_onehot,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1600,same_spectrum_order,100,N_3pct,rope_onehot,160,2,,
5fold_cv,nearest_centroid,0.9875,0.987450980392157,1600,same_spectrum_order,100,N_3pct,rope_onehot,160,2,0.024999999999999998,0.025098039215686273
5fold_cv,logistic,0.99375,0.9937438905180841,1600,same_spectrum_order,100,N_3pct,rope_onehot,160,2,0.012499999999999999,0.012512218963831857
holdout,nearest_centroid,1.0,1.0,1600,same_spectrum_order,100,N_3pct,rope_property,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1600,same_spectrum_order,100,N_3pct,rope_property,160,2,,
5fold_cv,nearest_centroid,0.975,0.9748276343604486,1600,same_spectrum_order,100,N_3pct,rope_property,160,2,0.03644344934278313,0.03675826808302772
5fold_cv,logistic,0.9875,0.987450980392157,1600,same_spectrum_order,100,N_3pct,rope_property,160,2,0.024999999999999998,0.025098039215686273
holdout,nearest_centroid,1.0,1.0,201,same_spectrum_order,100,N_3pct,ckmer5_count_l2,160,2,,
holdout,logistic,1.0,1.0,201,same_spectrum_order,100,N_3pct,ckmer5_count_l2,160,2,,
5fold_cv,nearest_centroid,1.0,1.0,201,same_spectrum_order,100,N_3pct,ckmer5_count_l2,160,2,0.0,0.0
5fold_cv,logistic,1.0,1.0,201,same_spectrum_order,100,N_3pct,ckmer5_count_l2,160,2,0.0,0.0
holdout,nearest_centroid,0.8958333333333334,0.8957881024750325,1536,same_spectrum_order,100,N_3pct,kmer_property,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,1536,same_spectrum_order,100,N_3pct,kmer_property,160,2,,
5fold_cv,nearest_centroid,0.90625,0.9061336323385658,1536,same_spectrum_order,100,N_3pct,kmer_property,160,2,0.02795084971874737,0.028060891782807684
5fold_cv,logistic,0.95,0.9498775228566501,1536,same_spectrum_order,100,N_3pct,kmer_property,160,2,0.03186887195995491,0.03192900732375804
holdout,nearest_centroid,0.3611111111111111,0.36219312602291326,222,motif_jitter_position,69,clean,ckmer4_property_multiscale_mean_l2,240,3,,
