split,classifier,accuracy,macro_f1,n_features,task,length,condition,representation,n_samples,n_classes,accuracy_std,macro_f1_std
holdout,logistic,0.5,0.49747474747474746,1600,motif_jitter_position,100,clean,rope_onehot,240,3,,
5fold_cv,nearest_centroid,0.5166666666666666,0.5113985290774861,1600,motif_jitter_position,100,clean,rope_onehot,240,3,0.04448782605013048,0.048233235591461414
5fold_cv,logistic,0.525,0.5211479463833931,1600,motif_jitter_position,100,clean,rope_onehot,240,3,0.027638539919628318,0.02882459639937172
holdout,nearest_centroid,0.375,0.3695569534880869,1600,motif_jitter_position,100,clean,rope_property,240,3,,
holdout,logistic,0.5,0.49613619091047273,1600,motif_jitter_position,100,clean,rope_property,240,3,,
5fold_cv,nearest_centroid,0.525,0.5205890837519118,1600,motif_jitter_position,100,clean,rope_property,240,3,0.04823265376162594,0.051566890363821054
5fold_cv,logistic,0.5041666666666667,0.4969724161947041,1600,motif_jitter_position,100,clean,rope_property,240,3,0.04448782605013046,0.04684743802174854
holdout,nearest_centroid,0.3194444444444444,0.31894992039368936,512,motif_jitter_position,100,clean,ckmer5_count_l2,240,3,,
holdout,logistic,0.3888888888888889,0.38464353681744984,512,motif_jitter_position,100,clean,ckmer5_count_l2,240,3,,
5fold_cv,nearest_centroid,0.35416666666666663,0.35276089759731716,512,motif_jitter_position,100,clean,ckmer5_count_l2,240,3,0.05892556509887896,0.058903767930288266
5fold_cv,logistic,0.3458333333333333,0.3430619334620512,512,motif_jitter_position,100,clean,ckmer5_count_l2,240,3,0.06263873490988713,0.06381251907226167
holdout,nearest_centroid,0.7083333333333334,0.7095714372310118,1536,motif_jitter_position,100,clean,kmer_property,240,3,,
holdout,logistic,0.6805555555555556,0.6802641802641802,1536,motif_jitter_position,100,clean,kmer_property,240,3,,
5fold_cv,nearest_centroid,0.6208333333333333,0.6175657298709056,1536,motif_jitter_position,100,clean,kmer_property,240,3,0.06640573937712176,0.06409047036490036
5fold_cv,logistic,0.5916666666666667,0.588612728474131,1536,motif_jitter_position,100,clean,kmer_property,240,3,0.06535161308899216,0.06420008890311765
holdout,nearest_centroid,0.3472222222222222,0.3447342995169082,222,motif_jitter_position,100,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,,
holdout,logistic,0.4583333333333333,0.44797731004627556,222,motif_jitter_position,100,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,,
5fold_cv,nearest_centroid,0.36666666666666664,0.3642388403778597,222,motif_jitter_position,100,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,0.042898458920779176,0.04232519379639081
5fold_cv,logistic,0.4083333333333334,0.40504534954450067,222,motif_jitter_position,100,N_3pct,ckmer4_property_multiscale_mean_l2,240,3,0.082915619758885,0.08367419168087321
holdout,nearest_centroid,0.4583333333333333,0.452776336274001,500,motif_jitter_position,100,N_3pct,one_hot,240,3,,
holdout,logistic,0.4861111111111111,0.4847467876039304,500,motif_jitter_position,100,N_3pct,one_hot,240,3,,
5fold_cv,nearest_centroid,0.5541666666666666,0.5508640088130371,500,motif_jitter_position,100,N_3pct,one_hot,240,3,0.04859126579037748,0.04857498904866609
5fold_cv,logistic,0.4833333333333333,0.47627135922388647,500,motif_jitter_position,100,N_3pct,one_hot,240,3,0.03584302194601093,0.04087389138101554
holdout,nearest_centroid,0.4305555555555556,0.43164817845668907,500,motif_jitter_position,100,N_3pct,property_channels,240,3,,
holdout,logistic,0.4305555555555556,0.4232661618106362,500,motif_jitter_position,100,N_3pct,property_channels,240,3,,
5fold_cv,nearest_centroid,0.4875,0.48427754777375276,500,motif_jitter_position,100,N_3pct,property_channels,240,3,0.05034602488997739,0.04870945822582619
5fold_cv,logistic,0.4791666666666667,0.4725038992803759,500,motif_jitter_position,100,N_3pct,property_channels,240,3,0.05432668671002208,0.05492655072895784
holdout,nearest_centroid,0.4166666666666667,0.4142826440698781,1000,motif_jitter_position,100,N_3pct,base_property,240,3,,
holdout,logistic,0.4305555555555556,0.4262956901254773,1000,motif_jitter_position,100,N_3pct,base_property,240,3,,
5fold_cv,nearest_centroid,0.5375,0.53613505074393,1000,motif_jitter_position,100,N_3pct,base_property,240,3,0.05000000000000002,0.05037050442573287
5fold_cv,logistic,0.475,0.46967984444341615,1000,motif_jitter_position,100,N_3pct,base_property,240,3,0.07383352144445564,0.075422930069927
holdout,nearest_centroid,0.4027777777777778,0.40112665112665113,1600,motif_jitter_position,100,N_3pct,rope_onehot,240,3,,
holdout,logistic,0.4305555555555556,0.4303806629034592,1600,motif_jitter_position,100,N_3pct,rope_onehot,240,3,,
5fold_cv,nearest_centroid,0.5208333333333334,0.5181689095402044,1600,motif_jitter_position,100,N_3pct,rope_onehot,240,3,0.04166666666666668,0.04181979461005576
5fold_cv,logistic,0.5166666666666667,0.5153754718539865,1600,motif_jitter_position,100,N_3pct,rope_onehot,240,3,0.05951190357119041,0.05975010168163621
holdout,nearest_centroid,0.4027777777777778,0.40140332862704825,1600,motif_jitter_position,100,N_3pct,rope_property,240,3,,
holdout,logistic,0.4861111111111111,0.4825174825174825,1600,motif_jitter_position,100,N_3pct,rope_property,240,3,,
5fold_cv,nearest_centroid,0.4875,0.4851246623337072,1600,motif_jitter_position,100,N_3pct,rope_property,240,3,0.053683744694688035,0.05432979843407989
5fold_cv,logistic,0.4833333333333333,0.47812589197207583,1600,motif_jitter_position,100,N_3pct,rope_property,240,3,0.035843021946010946,0.03513028929022446
holdout,nearest_centroid,0.2638888888888889,0.26367781155015196,512,motif_jitter_position,100,N_3pct,ckmer5_count_l2,240,3,,
holdout,logistic,0.4166666666666667,0.41538647342995166,512,motif_jitter_position,100,N_3pct,ckmer5_count_l2,240,3,,
5fold_cv,nearest_centroid,0.36666666666666664,0.3678510530398547,512,motif_jitter_position,100,N_3pct,ckmer5_count_l2,240,3,0.05368374469468801,0.05738115733654505
5fold_cv,logistic,0.3833333333333333,0.38322592700136376,512,motif_jitter_position,100,N_3pct,ckmer5_count_l2,240,3,0.07971302695712082,0.08020692866721713
holdout,nearest_centroid,0.6111111111111112,0.6117477293947882,1536,motif_jitter_position,100,N_3pct,kmer_property,240,3,,
holdout,logistic,0.5972222222222222,0.5987878787878788,1536,motif_jitter_position,100,N_3pct,kmer_property,240,3,,
5fold_cv,nearest_centroid,0.5791666666666667,0.5787058310625891,1536,motif_jitter_position,100,N_3pct,kmer_property,240,3,0.08477912478906587,0.08542424102496103
5fold_cv,logistic,0.6208333333333333,0.6187891146463308,1536,motif_jitter_position,100,N_3pct,kmer_property,240,3,0.03333333333333331,0.032140339085975696
