representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ckmer4_property_multiscale_mean_l2,mlp,2252,30,222,0.1893491124260355,0.16697908948710938,label_probe,69,N_3pct,label
ckmer4_property_multiscale_l2,nearest_centroid,2252,30,297,0.28254437869822485,0.2671322576169345,label_probe,69,N_3pct,label
ckmer4_property_multiscale_l2,logistic,2252,30,297,0.21597633136094674,0.20900197820525232,label_probe,69,N_3pct,label
ckmer4_property_multiscale_l2,mlp,2252,30,297,0.21449704142011836,0.19673313878484422,label_probe,69,N_3pct,label
ckmer4_property_moment_l2,nearest_centroid,2252,30,187,0.29142011834319526,0.2744574673500877,label_probe,69,N_3pct,label
ckmer4_property_moment_l2,logistic,2252,30,187,0.23668639053254437,0.22478522261254802,label_probe,69,N_3pct,label
ckmer4_property_moment_l2,mlp,2252,30,187,0.20266272189349113,0.18325303228095377,label_probe,69,N_3pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.2559171597633136,0.24455015309586395,label_probe,69,N_3pct,label
ckmer5_count_l2,logistic,2252,30,512,0.1834319526627219,0.17449369831808578,label_probe,69,N_3pct,label
ckmer5_count_l2,mlp,2252,30,512,0.1760355029585799,0.16516946211204162,label_probe,69,N_3pct,label
ckmer5_property_multiscale_l2,nearest_centroid,2252,30,673,0.2603550295857988,0.2476826190281572,label_probe,69,N_3pct,label
ckmer5_property_multiscale_l2,logistic,2252,30,673,0.1997041420118343,0.19120023216308893,label_probe,69,N_3pct,label
ckmer5_property_multiscale_l2,mlp,2252,30,673,0.1937869822485207,0.18483826123064825,label_probe,69,N_3pct,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.1893491124260355,0.17558437328917217,label_probe,69,N_3pct,label
cspaced_property_l2,logistic,2252,30,147,0.14053254437869822,0.13034307129761455,label_probe,69,N_3pct,label
cspaced_property_l2,mlp,2252,30,147,0.14201183431952663,0.12980337053903035,label_probe,69,N_3pct,label
ckmer4_count_l2,nearest_centroid,160,2,136,0.7708333333333334,0.7699346405228757,target_background,69,N_3pct,target_binary
ckmer4_count_l2,logistic,160,2,136,0.7916666666666666,0.7916666666666666,target_background,69,N_3pct,target_binary
ckmer4_count_l2,mlp,160,2,136,0.7083333333333334,0.7078260869565217,target_background,69,N_3pct,target_binary
ckmer4_property_l2,nearest_centroid,160,2,147,0.7708333333333334,0.7707338254450716,target_background,69,N_3pct,target_binary
ckmer4_property_l2,logistic,160,2,147,0.7916666666666666,0.7916666666666666,target_background,69,N_3pct,target_binary
ckmer4_property_l2,mlp,160,2,147,0.6875,0.6862745098039216,target_background,69,N_3pct,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,160,2,222,0.7708333333333334,0.7707338254450716,target_background,69,N_3pct,target_binary
ckmer4_property_multiscale_mean_l2,logistic,160,2,222,0.8541666666666666,0.8541033434650456,target_background,69,N_3pct,target_binary
ckmer4_property_multiscale_mean_l2,mlp,160,2,222,0.75,0.75,target_background,69,N_3pct,target_binary
ckmer4_property_multiscale_l2,nearest_centroid,160,2,297,0.7708333333333334,0.7707338254450716,target_background,69,N_3pct,target_binary
ckmer4_property_multiscale_l2,logistic,160,2,297,0.8125,0.8117647058823529,target_background,69,N_3pct,target_binary
ckmer4_property_multiscale_l2,mlp,160,2,297,0.7291666666666666,0.7261956998683634,target_background,69,N_3pct,target_binary
ckmer4_property_moment_l2,nearest_centroid,160,2,187,0.7708333333333334,0.7707338254450716,target_background,69,N_3pct,target_binary
ckmer4_property_moment_l2,logistic,160,2,187,0.7291666666666666,0.7290490664350847,target_background,69,N_3pct,target_binary
ckmer4_property_moment_l2,mlp,160,2,187,0.7083333333333334,0.7078260869565217,target_background,69,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.8541666666666666,0.8535947712418301,target_background,69,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,512,0.7708333333333334,0.7699346405228757,target_background,69,N_3pct,target_binary
ckmer5_count_l2,mlp,160,2,512,0.5625,0.4997518610421836,target_background,69,N_3pct,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,160,2,672,0.7708333333333334,0.7707338254450716,target_background,69,N_3pct,target_binary
ckmer5_property_multiscale_l2,logistic,160,2,672,0.8333333333333334,0.8330434782608696,target_background,69,N_3pct,target_binary
ckmer5_property_multiscale_l2,mlp,160,2,672,0.7708333333333334,0.7699346405228757,target_background,69,N_3pct,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.8333333333333334,0.8321678321678322,target_background,69,N_3pct,target_binary
cspaced_property_l2,logistic,160,2,147,0.8333333333333334,0.8321678321678322,target_background,69,N_3pct,target_binary
cspaced_property_l2,mlp,160,2,147,0.5416666666666666,0.484375,target_background,69,N_3pct,target_binary
ckmer4_count_l2,nearest_centroid,2252,30,136,0.27514792899408286,0.25913624861751794,label_probe,69,substitution_1pct,label
ckmer4_count_l2,logistic,2252,30,136,0.22928994082840237,0.21773250762796184,label_probe,69,substitution_1pct,label
ckmer4_count_l2,mlp,2252,30,136,0.17159763313609466,0.15093844095438527,label_probe,69,substitution_1pct,label
ckmer4_property_l2,nearest_centroid,2252,30,147,0.28106508875739644,0.2632152038446059,label_probe,69,substitution_1pct,label
ckmer4_property_l2,logistic,2252,30,147,0.22485207100591717,0.21678666610950525,label_probe,69,substitution_1pct,label
ckmer4_property_l2,mlp,2252,30,147,0.23816568047337278,0.2244973183141017,label_probe,69,substitution_1pct,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,2252,30,222,0.28254437869822485,0.26521150914896363,label_probe,69,substitution_1pct,label
ckmer4_property_multiscale_mean_l2,logistic,2252,30,222,0.23372781065088757,0.22535962788245545,label_probe,69,substitution_1pct,label
ckmer4_property_multiscale_mean_l2,mlp,2252,30,222,0.21005917159763313,0.1924117278924223,label_probe,69,substitution_1pct,label
ckmer4_property_multiscale_l2,nearest_centroid,2252,30,297,0.28402366863905326,0.26664941764569566,label_probe,69,substitution_1pct,label
ckmer4_property_multiscale_l2,logistic,2252,30,297,0.22781065088757396,0.21769013954920693,label_probe,69,substitution_1pct,label
ckmer4_property_multiscale_l2,mlp,2252,30,297,0.22189349112426035,0.2028626287986495,label_probe,69,substitution_1pct,label
ckmer4_property_moment_l2,nearest_centroid,2252,30,187,0.2781065088757396,0.259186320914783,label_probe,69,substitution_1pct,label
ckmer4_property_moment_l2,logistic,2252,30,187,0.22485207100591717,0.21498896564716835,label_probe,69,substitution_1pct,label
ckmer4_property_moment_l2,mlp,2252,30,187,0.22928994082840237,0.2100974621652205,label_probe,69,substitution_1pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.25,0.23184961880490168,label_probe,69,substitution_1pct,label
ckmer5_count_l2,logistic,2252,30,512,0.20266272189349113,0.19531786669505438,label_probe,69,substitution_1pct,label
ckmer5_count_l2,mlp,2252,30,512,0.1937869822485207,0.18900178587245098,label_probe,69,substitution_1pct,label
ckmer5_property_multiscale_l2,nearest_centroid,2252,30,673,0.25443786982248523,0.23776491377362224,label_probe,69,substitution_1pct,label
ckmer5_property_multiscale_l2,logistic,2252,30,673,0.19822485207100593,0.18570067836494472,label_probe,69,substitution_1pct,label
ckmer5_property_multiscale_l2,mlp,2252,30,673,0.19230769230769232,0.17411986262195683,label_probe,69,substitution_1pct,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.17159763313609466,0.15847172417932182,label_probe,69,substitution_1pct,label
cspaced_property_l2,logistic,2252,30,147,0.11834319526627218,0.11264963236490491,label_probe,69,substitution_1pct,label
cspaced_property_l2,mlp,2252,30,147,0.10946745562130178,0.09761197351085953,label_probe,69,substitution_1pct,label
ckmer4_count_l2,nearest_centroid,160,2,136,0.8125,0.8104431768319438,target_background,69,substitution_1pct,target_binary
ckmer4_count_l2,logistic,160,2,136,0.8333333333333334,0.8321678321678322,target_background,69,substitution_1pct,target_binary
ckmer4_count_l2,mlp,160,2,136,0.6041666666666666,0.6026143790849673,target_background,69,substitution_1pct,target_binary
ckmer4_property_l2,nearest_centroid,160,2,147,0.7708333333333334,0.7699346405228757,target_background,69,substitution_1pct,target_binary
ckmer4_property_l2,logistic,160,2,147,0.8333333333333334,0.8321678321678322,target_background,69,substitution_1pct,target_binary
