length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets,mutation_fraction
69,center,ck4,0.27779451829071977,0.2860828849540686,0.008288366663348819,0.0025475703383095348,0.014544562935419092,1468584422.280939,1.0248335699954003,4442467875.314281,0.9606193655216587,0.9588573017244489,136,0.38500816993464054,52.361111111111114,180,0.01
69,center,ck4_p,0.19649229964902087,0.20235248476917428,0.005860185120153393,0.001816960734309543,0.010229425056791154,1.3480155632412303,1.024916601741437,1.992086447485993,0.9803011935643919,0.9794163083347058,147,0.4242252456538171,62.361111111111114,180,0.01
69,center,ck4_msp,0.19678652742375036,0.20271819894165405,0.005931671517903636,0.0019103977852818724,0.010283395438643664,1.1709098563482456,1.0253123868117735,1.4555938513489066,0.980248386980756,0.9793426566729783,211,0.5325171142706687,112.36111111111111,180,0.01
69,center,ck4p_msp,0.160713928458369,0.1655686893493749,0.004854760891005904,0.0015747012793308711,0.008405022851358652,1.1603572492373802,1.0253950682095594,1.4235387441518168,0.9868265985228791,0.9862202094303064,222,0.5511761761761762,122.36111111111111,180,0.01
69,jittered,ck4,0.2755851888519025,0.28539676692340993,0.0098115780715075,0.0041140424809229985,0.015383891006783312,1.0627834513937877,1.0307964440926476,1.098736914224023,0.9613557007222492,0.9590865043023824,136,0.3806644880174292,51.77037037037037,180,0.01
69,jittered,ck4_p,0.19491380292733698,0.20186735214497367,0.006953549217636722,0.00292738203794678,0.010893646401234271,1.0627948346779932,1.0308520725714192,1.0986942300138456,0.9806693132869981,0.9795309123733728,147,0.4202066011589821,61.77037037037037,180,0.01
69,jittered,ck4_msp,0.19518340478248233,0.20225471331295683,0.007071308530474559,0.0030593250655724536,0.011012075305078951,1.0630183298322078,1.0312797376909963,1.0986402767762267,0.9806185854198345,0.9794529471387537,211,0.5297173951202387,111.77037037037037,180,0.01
69,jittered,ck4p_msp,0.15940376425951516,0.16519027117326818,0.005786506913752995,0.002512843523428782,0.009004033270105188,1.0630310727918133,1.0313361419426024,1.0986002121851148,0.987073365563805,0.9862937382406236,222,0.5485151818485152,121.77037037037037,180,0.01
69,left,ck4,0.28044121936791466,0.2865223885380335,0.0060811691701188695,0.002405292779133852,0.010109686142495916,1.0324751608861018,1.0122200258721026,1.0548618183270835,0.9603259819796679,0.9587603376058038,136,0.38333333333333336,52.13333333333333,180,0.01
69,left,ck4_p,0.19834562701560923,0.2026637659375989,0.004318138921989698,0.0017201608386615173,0.007163862070214718,1.0325431922468618,1.012299486630128,1.0549030057087174,0.9801544767003865,0.9793677365296222,147,0.4226757369614512,62.13333333333333,180,0.01
69,left,ck4_msp,0.19861485158659728,0.20303004916982026,0.004415197583223002,0.001827486513810625,0.0072443526505225255,1.0329017649299828,1.0127266682258131,1.055134139127961,0.9801017614755518,0.9792937430704222,211,0.5314024925399333,112.12592592592593,180,0.01
69,left,ck4p_msp,0.1622039899454716,0.165823725018443,0.0036197350729714117,0.001508763294524069,0.0059274012468075125,1.0329698461992378,1.0128060236337741,1.0551760396995808,0.9867288314574028,0.9861875405314284,222,0.5501167834501168,122.12592592592593,180,0.01
69,right,ck4,0.2754506783170095,0.2858929860162012,0.010442307699191673,0.005035685348604378,0.016316897858242068,1.068923236639513,1.0347499467898522,1.1031413007449615,0.9612795334455547,0.9589936149236571,136,0.38235294117647056,52.0,180,0.01
69,right,ck4_p,0.19481977815182486,0.20221902026855218,0.007399242116727314,0.0035808253146894483,0.011552839983220306,1.0689364658052776,1.0348218319819855,1.103121142857852,0.9806309446661753,0.9794842716733705,147,0.4217687074829932,62.0,180,0.01
69,right,ck4_msp,0.19509508599685677,0.20261842971460844,0.007523343717751648,0.0037298150668844125,0.011671158173975195,1.0692026137739166,1.0353582021189842,1.1032280001241888,0.9805788535538239,0.979403756479927,211,0.5307442513603651,111.98703703703704,180,0.01
69,right,ck4p_msp,0.15933254064058214,0.1654878836948212,0.00615534305423906,0.0030617100438755165,0.009541726902684297,1.0692170406887516,1.0353949040691124,1.103211388691413,0.9870466876648147,0.9862608137943129,222,0.5494911578244912,121.98703703703704,180,0.01
100,center,ck4,0.21521954386259343,0.2209214416382041,0.005701897775610698,0.001713936396893757,0.010556540369495668,2517256010.6042876,1.0157492361640978,6343416332.287248,0.9764009606438173,0.9754755393632304,136,0.5072303921568627,68.98333333333333,180,0.01
