sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,selective_sensitivity_ratio_valid,n_features,density,avg_nnz_per_read,mutation_fraction
L69_center_00000,69,center,ck4,0.9684747092264966,0.9574271077563381,0.2510987485970537,0.2917975059648793,0.04069875736782558,1.162082677015393,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00001,69,center,ck4,0.9523809523809521,0.9523809523809519,0.30860669992418377,0.30860669992418377,0.0,1.0,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00002,69,center,ck4,0.9585413727004499,0.9585413727004495,0.28795356326862864,0.2879535632686286,-5.551115123125783e-17,0.9999999999999998,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00003,69,center,ck4,0.9481224447363145,0.9585413727004497,0.32211040114744943,0.28795356326862864,-0.03415683787882079,0.8939592209467798,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00004,69,center,ck4,0.9551164718229264,0.9547920752586628,0.299611509048213,0.3006922837098987,0.0010807746616857128,1.0036072534900913,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00005,69,center,ck4,0.9652538855248762,0.965060808722445,0.2636137874813213,0.26434519582377486,0.0007314083424535545,1.0027745451003975,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00006,69,center,ck4,0.9604431166873739,0.9601920576192067,0.2812716953858881,0.28216286921135914,0.0008911738254710477,1.0031683736404704,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00007,69,center,ck4,0.9528301886792454,0.961732679641033,0.3071475584169756,0.27664894852128663,-0.030498609895688977,0.9007037202155296,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00008,69,center,ck4,0.9479166666666669,0.9576635971035922,0.32274861218395146,0.2909859202655958,-0.03176269191835568,0.9015868985355933,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00009,69,center,ck4,0.9401880564188067,0.9600368491021515,0.34586686334829303,0.2827124012060619,-0.06315446214223114,0.8174023913975429,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00010,69,center,ck4,0.9607689228305225,0.9588138399041994,0.280110967901927,0.2870057842476351,0.006894816345708099,1.0246145889871836,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00011,69,center,ck4,0.9622641509433962,0.9622641509433963,0.27472112789737807,0.27472112789737807,0.0,1.0,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00012,69,center,ck4,0.9570445758030321,0.9579478102131653,0.29310552433199877,0.2900075508907818,-0.0030979734412169835,0.9894305184172921,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00013,69,center,ck4,0.957490360629116,0.9588138399041999,0.2915806556371122,0.28700578424763523,-0.004574871389476987,0.9843100997921801,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00014,69,center,ck4,0.9570445758030321,0.9561016864238908,0.29310552433199877,0.2963049563409591,0.0031994320089603345,1.010915631891456,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00015,69,center,ck4,0.9474209111998337,0.9574271077563383,0.32428101640449497,0.2917975059648793,-0.03248351043961567,0.8998291333862817,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00016,69,center,ck4,0.9585413727004499,0.9585413727004496,0.28795356326862864,0.2879535632686286,-5.551115123125783e-17,0.9999999999999998,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00017,69,center,ck4,0.9615730037336914,0.9631281225496271,0.27722552648090854,0.2715580138768624,-0.005667512604046132,0.9795563104307553,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00018,69,center,ck4,0.9551164718229266,0.9561016864238913,0.29961150904821304,0.29630495634095916,-0.0033065527072538847,0.9889638661820505,True,136,0.38500816993464054,52.361111111111114,0.01
L69_center_00019,69,center,ck4,1.0,0.9650608087224449,0.0,0.26434519582377486,0.26434519582377486,,False,136,0.38500816993464054,52.361111111111114,0.01
