representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck4p_msp,logistic,87,2,222,0.5925925925925926,0.5834502103786816,target_background,Klebsiella,69,clean,target_binary
pseknc_k3_l3,logistic,87,2,67,0.5185185185185185,0.4935064935064935,target_background,Klebsiella,69,clean,target_binary
ncp_anf,logistic,87,2,276,0.4074074074074074,0.3647058823529412,target_background,Klebsiella,69,clean,target_binary
pseeiip,logistic,87,2,64,0.48148148148148145,0.4441176470588235,target_background,Klebsiella,69,clean,target_binary
ck4,logistic,116,4,136,0.2571428571428571,0.2581699346405229,within_genus_species,Acinetobacter,69,substitution_1pct,label
ck4p_msp,logistic,116,4,222,0.17142857142857143,0.16129582267689685,within_genus_species,Acinetobacter,69,substitution_1pct,label
pseknc_k3_l3,logistic,116,4,67,0.22857142857142856,0.23156789031402034,within_genus_species,Acinetobacter,69,substitution_1pct,label
ncp_anf,logistic,116,4,276,0.22857142857142856,0.2284719150818222,within_genus_species,Acinetobacter,69,substitution_1pct,label
pseeiip,logistic,116,4,64,0.2,0.20604575163398692,within_genus_species,Acinetobacter,69,substitution_1pct,label
ck4,logistic,72,3,136,0.36363636363636365,0.3148148148148148,within_genus_species,Burkholderia,69,substitution_1pct,label
ck4p_msp,logistic,72,3,222,0.22727272727272727,0.19607843137254902,within_genus_species,Burkholderia,69,substitution_1pct,label
pseknc_k3_l3,logistic,72,3,67,0.3181818181818182,0.3055555555555555,within_genus_species,Burkholderia,69,substitution_1pct,label
ncp_anf,logistic,72,3,276,0.18181818181818182,0.15288220551378445,within_genus_species,Burkholderia,69,substitution_1pct,label
pseeiip,logistic,72,3,64,0.36363636363636365,0.3424688057040998,within_genus_species,Burkholderia,69,substitution_1pct,label
ck4,logistic,72,2,136,0.5454545454545454,0.47619047619047616,target_background,Burkholderia,69,substitution_1pct,target_binary
ck4p_msp,logistic,72,2,222,0.5,0.44367816091954027,target_background,Burkholderia,69,substitution_1pct,target_binary
pseknc_k3_l3,logistic,72,2,67,0.5454545454545454,0.47619047619047616,target_background,Burkholderia,69,substitution_1pct,target_binary
ncp_anf,logistic,72,2,276,0.5,0.39950372208436724,target_background,Burkholderia,69,substitution_1pct,target_binary
pseeiip,logistic,72,2,64,0.5454545454545454,0.47619047619047616,target_background,Burkholderia,69,substitution_1pct,target_binary
ck4,logistic,119,4,136,0.3055555555555556,0.32101086048454464,within_genus_species,Candida,69,substitution_1pct,label
ck4p_msp,logistic,119,4,222,0.3333333333333333,0.3413115676892767,within_genus_species,Candida,69,substitution_1pct,label
pseknc_k3_l3,logistic,119,4,67,0.3055555555555556,0.31706528765352293,within_genus_species,Candida,69,substitution_1pct,label
ncp_anf,logistic,119,4,276,0.2222222222222222,0.20787545787545786,within_genus_species,Candida,69,substitution_1pct,label
pseeiip,logistic,119,4,64,0.3055555555555556,0.31706528765352293,within_genus_species,Candida,69,substitution_1pct,label
