representation,n_cells,paired_cosine,standardized_drift,retrieval_top1,n_features_min,n_features_max,macro_f1,n_readout_cells,selective_sensitivity_ratio,local_minus_noise_l2,grouped_local_change_macro_f1,representation_label,runtime_ms_per_10000,runtime_q25,runtime_q75,runtime_n_features
ck4,30,0.9706639208315381,0.21450512903595204,0.9999166666666667,136,136,0.3955142293776365,275,0.7503827403948463,-0.08947539093253337,0.8922999894700521,CK4,2124.212000053376,2034.7559999208897,2183.216999983415,136
ck4p_msp,30,0.9898428484396857,0.1264458823791415,0.9999166666666667,222,222,0.3995390439141913,275,0.7522808536306758,-0.051337303473906665,0.9786303853738859,CK4P-MSP,2703.3139998093247,2637.857000809163,2779.1840001009405,222
ncp_anf,30,0.9566776267978266,0.22853858538381394,0.9770833333333333,276,600,0.3695875607304579,275,0.9961978288901175,-0.0007484384126240823,0.9586579751864773,NCP+ANF,1142.1939998399466,1134.4330001156777,1163.855999475345,300
pseeiip,30,0.9838227189494029,0.15804248426013026,0.9998333333333334,64,64,0.39380025940047814,275,158961253.74273086,-0.05659394077983712,0.8699985706834599,PseEIIP,828.355000121519,806.1880001332611,855.1130001433194,64
pseknc_k3_l3,30,0.9917392997504807,0.11312250439971186,0.9999166666666667,67,67,0.3962617389339928,275,0.8308820403067925,-0.036765391397147074,0.8868447533823058,"PseKNC (k=3, lambda=3)",56285.0220000837,55412.120000692084,56811.04499963112,67
