length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets
69,center,ck4,0.3895174210376605,0.3156722485798154,-0.07384517245784512,-0.08004251285855478,-0.06708662870517872,0.8217811234992399,0.8036443299317991,0.8394710117555277,0.9231777587999297,0.94951449856282,136,0.38194117647058823,51.944,250
69,center,ck4p_msp,0.22529572709555207,0.18308783037220677,-0.042207896723345316,-0.04569215271510873,-0.03836965629742861,0.8239805415299076,0.8061526776036576,0.841473641168272,0.9743016187721555,0.9830326704140907,222,0.5492732732732732,121.93866666666666,250
69,center,pseknc_k3_l3,0.20056340641501066,0.16989078092573634,-0.03067262548927428,-0.03439221229069696,-0.026707121309057582,1.1307611991600492,0.8384917343592821,1.6978385268698848,0.9795003957646599,0.9852943932374011,67,0.6722388059701493,45.04,250
69,center,ncp_anf,0.1923521026960277,0.19125842233930718,-0.0010936803567205592,-0.0014524784280735123,-0.000732632990758065,0.9944932994533999,0.9926894150965951,0.9961061569691262,0.9814773101847204,0.9816898508626268,276,0.622792270531401,171.89066666666668,250
69,center,pseeiip,0.28802100968862715,0.24259157590607083,-0.045429433782556344,-0.05170492623487816,-0.03886316995541551,877314671.7686967,0.8369883270499733,2631944013.6160965,0.9575929269617631,0.9698588243393833,64,0.656875,42.04,250
69,jittered,ck4,0.3855079005635833,0.31975383034291766,-0.06575407022066568,-0.07154189245896954,-0.059598013223676895,0.8417307538464143,0.8259603498568134,0.85895847364713,0.9246974431719605,0.9484866978790281,136,0.3824705882352941,52.016,250
69,jittered,ck4p_msp,0.22297874788898017,0.1853811105304908,-0.037597637358489346,-0.040953013231822565,-0.034032836637295644,0.8435710386889781,0.8279847519481344,0.8608505228545141,0.9748104498440139,0.9826866424015331,222,0.5495735735735736,122.00533333333334,250
69,jittered,pseknc_k3_l3,0.20169421226162976,0.17181472910393822,-0.02987948315769155,-0.03344084727424583,-0.026035323718045334,1.1020499355595321,0.849104462181621,1.811732811967436,0.9792275283464501,0.9851011468275258,67,0.6715820895522389,44.996,250
69,jittered,ncp_anf,0.19177018455391234,0.19078719665687435,-0.000982987897037974,-0.001346715351815982,-0.0006515701161931483,0.9950639328033272,0.9932459661903296,0.9968693657594961,0.9815920547324283,0.9817837951990156,276,0.6248599033816425,172.46133333333333,250
69,jittered,pseeiip,0.286390978166971,0.24396268667105328,-0.04242829149591774,-0.04758692634452514,-0.036817788368545,1030220365.4499432,0.8485461827722812,4120881459.2031264,0.9580697237872127,0.9698696716940609,64,0.6561875,41.996,250
69,left,ck4,0.388581658341953,0.3173364717719479,-0.0712451865700051,-0.07735981295582656,-0.06552338396378111,0.8257426132199917,0.8095961920610043,0.8413281269200468,0.9236182077859203,0.9490236606706716,136,0.3846764705882353,52.316,250
69,left,ck4p_msp,0.2247745739427872,0.18398809474649053,-0.04078647919629668,-0.04425248375350384,-0.03749001506586241,0.8275939467524251,0.8120047699393208,0.8427903913343013,0.9744444254441329,0.9828753580812196,222,0.5509369369369369,122.308,250
69,left,pseknc_k3_l3,0.19962182152711325,0.16869015895426973,-0.030931662572843514,-0.034832260995161256,-0.027142295625018752,0.8591804259247158,0.8388311963613679,0.8850854532040638,0.9797379168167968,0.9854799355119359,67,0.6673233830845771,44.71066666666667,250
69,left,ncp_anf,0.1915837982012693,0.1918361511428174,0.00025235294154812946,-0.00014547434911312462,0.0006692267505037808,1.0015181642182254,0.9994538642782147,1.0035751627516638,0.9816260728422094,0.9815799864261305,276,0.6259613526570048,172.76533333333333,250
69,left,pseeiip,0.28648936756612986,0.2392664800376957,-0.04722288752843415,-0.05328244741184403,-0.04103675716136763,0.8496913512467672,0.8277003496448294,0.876275148245186,0.9582474313599757,0.9706153932633963,64,0.6517291666666667,41.71066666666667,250
69,right,ck4,0.38293961007437155,0.31796278039808784,-0.06497682967628378,-0.07117910021550607,-0.05879232693459664,0.8415540946443766,0.8260126729150901,0.8566319549527447,0.9256085791651403,0.9489433350640086,136,0.3830882352941177,52.1,250
69,right,ck4p_msp,0.2215141166591312,0.18434763199627963,-0.03716648466285159,-0.040762584654464064,-0.03355811805797655,0.8433724576722255,0.8278383820689624,0.8583169041639833,0.9751102394390678,0.9828398237721306,222,0.549987987987988,122.09733333333334,250
69,right,pseknc_k3_l3,0.20018045331157508,0.17269225956689713,-0.02748819374467798,-0.031231923370777417,-0.023799118959547713,0.8779792728207735,0.8600636965826035,0.8979645915608694,0.979597460518042,0.9849320071962153,67,0.6717412935323384,45.00666666666667,250
69,right,ncp_anf,0.19148627151654898,0.18997661313131636,-0.001509658385232644,-0.0018800539827788522,-0.0011234941142339537,0.9923048429066827,0.9905491920263376,0.994163525944441,0.9816445393337286,0.9819355015146027,276,0.6264734299516909,172.90666666666667,250
69,right,pseeiip,0.28712599915118425,0.24312031115477045,-0.04400568799641384,-0.05017283469181265,-0.03792129275293283,0.8639821502460727,0.8448482585180375,0.8838430422593302,0.9578541885549497,0.9700241290948314,64,0.6563541666666667,42.00666666666667,250
100,center,ck4,0.36318747019111297,0.2667251335288596,-0.09646233666225328,-0.10125526789837959,-0.09140088198984198,0.7430221580119989,0.7309699907204497,0.7564056904848129,0.9333471855418491,0.9642350179035768,136,0.5054803921568627,68.74533333333333,250
100,center,ck4p_msp,0.20999528147548877,0.1546357734165649,-0.05535950805892386,-0.058129909067191295,-0.05243560024446414,0.7449876339084313,0.7329691874649156,0.758421254245175,0.9777181802475543,0.98797924880315,222,0.624978978978979,138.74533333333332,250
100,center,pseknc_k3_l3,0.17479701376019424,0.134235492055459,-0.040561521704735176,-0.0433449085107385,-0.03775779142700719,0.7783858643660463,0.7636981762672518,0.7938923223563581,0.9844906442545669,0.9908746734834043,67,0.7952238805970149,53.28,250
