split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
holdout,nearest_centroid,0.7023809523809523,0.701322713696487,69,left,pseeiip,500,64,,
holdout,logistic,0.7559523809523809,0.7557360190077662,69,left,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.688,0.6865949607487265,69,left,pseeiip,500,64,0.015999999999999966,0.015507509663869753
5fold_grouped_cv,logistic,0.77,0.7685794324239792,69,left,pseeiip,500,64,0.0340587727318528,0.032959433136782
holdout,nearest_centroid,0.7023809523809523,0.6989247311827957,69,right,ck4,500,136,,
holdout,logistic,0.75,0.7498581962563812,69,right,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.746,0.7446535150595182,69,right,ck4,500,136,0.03136877428271627,0.031973572875577734
5fold_grouped_cv,logistic,0.75,0.7497843183730689,69,right,ck4,500,136,0.02966479394838268,0.0296155723010466
holdout,nearest_centroid,0.7559523809523809,0.7534275997852157,69,right,ck4p_msp,500,222,,
holdout,logistic,0.9821428571428571,0.9821371610845295,69,right,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.77,0.7687081258375056,69,right,ck4p_msp,500,222,0.02756809750418043,0.028127813402582278
5fold_grouped_cv,logistic,0.982,0.981987389610986,69,right,ck4p_msp,500,222,0.011661903789690611,0.011673165031177182
holdout,nearest_centroid,0.6488095238095238,0.6486975013290803,69,right,pseknc_k3_l3,500,67,,
holdout,logistic,0.7678571428571429,0.7674534161490683,69,right,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.6839999999999999,0.6831701691568586,69,right,pseknc_k3_l3,500,67,0.03498571136907178,0.03422896572457538
5fold_grouped_cv,logistic,0.794,0.7929206030458502,69,right,pseknc_k3_l3,500,67,0.03611094017053556,0.036594123750840285
holdout,nearest_centroid,0.9880952380952381,0.9880935506732813,69,right,ncp_anf,500,276,,
holdout,logistic,0.9345238095238095,0.9342418958830019,69,right,ncp_anf,500,276,,
5fold_grouped_cv,nearest_centroid,0.9940000000000001,0.9939981993397419,69,right,ncp_anf,500,276,0.008000000000000007,0.008002901214878018
5fold_grouped_cv,logistic,0.9540000000000001,0.9538314568685855,69,right,ncp_anf,500,276,0.023323807579381173,0.02346600896716994
holdout,nearest_centroid,0.6607142857142857,0.6607022641108315,69,right,pseeiip,500,64,,
holdout,logistic,0.7619047619047619,0.7616006811409111,69,right,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.6839999999999999,0.6828659603588972,69,right,pseeiip,500,64,0.03199999999999999,0.03250492323069522
5fold_grouped_cv,logistic,0.7739999999999999,0.7737251572149177,69,right,pseeiip,500,64,0.032,0.031922693291936595
holdout,nearest_centroid,0.8630952380952381,0.8613214657431001,100,center,ck4,500,136,,
holdout,logistic,0.8988095238095238,0.8987198127593177,100,center,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.906,0.9055503051847802,100,center,ck4,500,136,0.03498571136907181,0.03522368481761174
5fold_grouped_cv,logistic,0.9119999999999999,0.9118676515654874,100,center,ck4,500,136,0.03310589071449369,0.03320658142088433
holdout,nearest_centroid,0.8690476190476191,0.8675268817204301,100,center,ck4p_msp,500,222,,
holdout,logistic,0.9821428571428571,0.9821371610845295,100,center,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.9179999999999999,0.9175283988871084,100,center,ck4p_msp,500,222,0.027856776554368225,0.0281556044583963
5fold_grouped_cv,logistic,0.9780000000000001,0.97798578897073,100,center,ck4p_msp,500,222,0.007483314773547889,0.007493695086588851
holdout,nearest_centroid,0.8095238095238095,0.8088465367657517,100,center,pseknc_k3_l3,500,67,,
holdout,logistic,0.8571428571428571,0.8570618264322178,100,center,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.876,0.8744734717075859,100,center,pseknc_k3_l3,500,67,0.036110940170535615,0.03788056389751683
5fold_grouped_cv,logistic,0.8880000000000001,0.8877071332395976,100,center,pseknc_k3_l3,500,67,0.025612496949731417,0.025728207832920603
holdout,nearest_centroid,1.0,1.0,100,center,ncp_anf,500,400,,
holdout,logistic,0.9702380952380952,0.9702117096350934,100,center,ncp_anf,500,400,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,center,ncp_anf,500,400,0.0,0.0
5fold_grouped_cv,logistic,0.9739999999999999,0.9739601161502778,100,center,ncp_anf,500,400,0.016248076809271934,0.016295163635722188
holdout,nearest_centroid,0.8154761904761905,0.8139933569056038,100,center,pseeiip,500,64,,
holdout,logistic,0.8273809523809523,0.827227915883542,100,center,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.82,0.8177492946431295,100,center,pseeiip,500,64,0.02966479394838263,0.031829077683744864
5fold_grouped_cv,logistic,0.858,0.8573666934269077,100,center,pseeiip,500,64,0.03969886648255842,0.04012976446986516
holdout,nearest_centroid,0.9464285714285714,0.9463354037267081,100,jittered,ck4,500,136,,
holdout,logistic,0.9583333333333334,0.958331856996067,100,jittered,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.9359999999999999,0.9357220037862832,100,jittered,ck4,500,136,0.013564659966250506,0.013789443470215558
