endpoint,comparator,comparator_label,n_cells,ck4p_msp_improvement,ci_low,ci_high,wilcoxon_p,bh_q
stability_drift,ck4,CK4,30,0.08805924665681054,0.07642810069178532,0.09993191025678952,1.862645149230957e-09,7.450580596923828e-09
stability_drift,pseknc_k3_l3,PseKNC,30,-0.013323377979429637,-0.016339741365067387,-0.010325273064201317,1.862645149230957e-08,4.967053731282552e-08
stability_drift,ncp_anf,NCP+ANF,30,0.10209270300467249,0.062182486577769924,0.14710017151990828,8.009374141693115e-08,1.601874828338623e-07
stability_drift,pseeiip,PseEIIP,30,0.03159660188098878,0.025326388520077188,0.038405708182531875,1.862645149230957e-09,7.450580596923828e-09
grouped_local_change_f1,ck4,CK4,12,0.08633039590383391,0.04241846173446124,0.1342503059830956,0.00048828125,0.0005580357142857143
grouped_local_change_f1,pseknc_k3_l3,PseKNC,12,0.09178563199158012,0.06178107292258577,0.12410390920347623,0.00048828125,0.0005580357142857143
grouped_local_change_f1,ncp_anf,NCP+ANF,12,0.019972410187408623,0.00539551735239703,0.035576408157370246,0.01611328125,0.01611328125
grouped_local_change_f1,pseeiip,PseEIIP,12,0.10863181469042611,0.07406398453985039,0.1450720792275472,0.00048828125,0.0005580357142857143
