panel,representation,cell_1,cell_2,value,metric
A,pseeiip,100,local_mismatch_6bp,0.2306262909759785,standardized_drift
A,ck4,125,substitution_1pct,0.1495272138859649,standardized_drift
A,ck4p_msp,125,substitution_1pct,0.0864761977495044,standardized_drift
A,pseknc_k3_l3,125,substitution_1pct,0.07263404255023,standardized_drift
A,ncp_anf,125,substitution_1pct,0.0933013378948553,standardized_drift
A,pseeiip,125,substitution_1pct,0.1052314516951124,standardized_drift
A,ck4,125,N_3pct,0.2367068904752401,standardized_drift
A,ck4p_msp,125,N_3pct,0.1437043752120099,standardized_drift
A,pseknc_k3_l3,125,N_3pct,0.119295297982368,standardized_drift
A,ncp_anf,125,N_3pct,0.1784545162542342,standardized_drift
A,pseeiip,125,N_3pct,0.1654523292403068,standardized_drift
A,ck4,125,trim_5bp,0.1317647871450408,standardized_drift
A,ck4p_msp,125,trim_5bp,0.077547951951665,standardized_drift
A,pseknc_k3_l3,125,trim_5bp,0.0741056155652077,standardized_drift
A,ncp_anf,125,trim_5bp,0.198088098291236,standardized_drift
A,pseeiip,125,trim_5bp,0.106940602575684,standardized_drift
A,ck4,125,substitution_1pct_N_3pct,0.2969976188563563,standardized_drift
A,ck4p_msp,125,substitution_1pct_N_3pct,0.1774600838596058,standardized_drift
A,pseknc_k3_l3,125,substitution_1pct_N_3pct,0.148836167530142,standardized_drift
A,ncp_anf,125,substitution_1pct_N_3pct,0.2088311015010761,standardized_drift
A,pseeiip,125,substitution_1pct_N_3pct,0.2091961718016025,standardized_drift
A,ck4,125,short_indel,0.1283231253345301,standardized_drift
A,ck4p_msp,125,short_indel,0.0743133532455404,standardized_drift
A,pseknc_k3_l3,125,short_indel,0.0586812287396007,standardized_drift
A,ncp_anf,125,short_indel,0.4764252192129447,standardized_drift
A,pseeiip,125,short_indel,0.0842592858504256,standardized_drift
A,ck4,125,local_mismatch_6bp,0.2510417365430834,standardized_drift
A,ck4p_msp,125,local_mismatch_6bp,0.145630754371828,standardized_drift
A,pseknc_k3_l3,125,local_mismatch_6bp,0.1321657581018708,standardized_drift
A,ncp_anf,125,local_mismatch_6bp,0.2475336621661274,standardized_drift
A,pseeiip,125,local_mismatch_6bp,0.1908421142167374,standardized_drift
A,ck4,150,substitution_1pct,0.1449864302695268,standardized_drift
A,ck4p_msp,150,substitution_1pct,0.0838612220876522,standardized_drift
A,pseknc_k3_l3,150,substitution_1pct,0.0690425720122303,standardized_drift
A,ncp_anf,150,substitution_1pct,0.095826685304219,standardized_drift
A,pseeiip,150,substitution_1pct,0.1006355186996193,standardized_drift
A,ck4,150,N_3pct,0.2045295693116368,standardized_drift
A,ck4p_msp,150,N_3pct,0.1238908625691772,standardized_drift
A,pseknc_k3_l3,150,N_3pct,0.1006346801464379,standardized_drift
A,ncp_anf,150,N_3pct,0.1610439890110943,standardized_drift
A,pseeiip,150,N_3pct,0.1394294464649791,standardized_drift
A,ck4,150,trim_5bp,0.1142756110624995,standardized_drift
A,ck4p_msp,150,trim_5bp,0.0675906528340598,standardized_drift
A,pseknc_k3_l3,150,trim_5bp,0.0618459308138151,standardized_drift
