comparison,base_representation,test_representation,task,group,length,condition,classifier,delta_paired_cosine_mean,delta_paired_cosine_p05,delta_l2_delta_mean,delta_l2_delta_p95,delta_accuracy,delta_macro_f1,delta_auroc
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,75,clean,nearest_centroid,,,,,-0.07407407407407407,-0.06597744360902247,-0.1049382716049383
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,75,clean,logistic_regression,,,,,0.0,0.05783212816678507,-0.08024691358024694
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,75,N_3pct,nearest_centroid,,,,,0.08333333333333334,0.0735574453066713,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,75,N_3pct,logistic_regression,,,,,0.027777777777777776,0.01952307238684947,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,75,N_3pct,nearest_centroid,,,,,-0.037037037037037035,-0.06008771929824561,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,75,N_3pct,logistic_regression,,,,,0.07407407407407413,0.07983759160229759,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,75,N_3pct,nearest_centroid,,,,,0.03703703703703709,0.09773755656108596,-0.030864197530864224
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,75,N_3pct,logistic_regression,,,,,-0.07407407407407407,-0.06428571428571428,0.04938271604938271
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,75,N_3pct,nearest_centroid,,,,,0.02777777777777779,0.016495784916837508,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,75,N_3pct,logistic_regression,,,,,0.0,0.017068071247637873,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,75,N_3pct,nearest_centroid,,,,,0.037037037037037035,0.022168646975148476,0.05555555555555558
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,75,N_3pct,logistic_regression,,,,,0.07407407407407407,0.1719970330293643,0.06790123456790131
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,75,N_3pct,nearest_centroid,,,,,-0.06666666666666668,-0.06343309253525972,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,75,N_3pct,logistic_regression,,,,,0.044444444444444425,0.058853591779961384,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,75,N_3pct,nearest_centroid,,,,,-0.1481481481481482,-0.19285714285714278,-0.09876543209876543
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,75,N_3pct,logistic_regression,,,,,-0.18518518518518523,-0.22996515679442503,-0.11728395061728392
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,75,N_3pct,nearest_centroid,,,,,0.0,0.01753246753246762,0.04938271604938271
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,75,N_3pct,logistic_regression,,,,,-0.05555555555555558,-0.05400756793945649,-0.12345679012345678
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,75,N_3pct,nearest_centroid,,,,,0.0,0.0,-0.06172839506172845
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,75,N_3pct,logistic_regression,,,,,-0.05555555555555558,-0.06753246753246755,-0.012345679012345734
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,75,N_3pct,nearest_centroid,,,,,0.037037037037037035,0.04995822890559737,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,75,N_3pct,logistic_regression,,,,,-0.1111111111111111,-0.10564326740797325,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,75,N_3pct,nearest_centroid,,,,,-0.03703703703703709,-0.031064346079826,-0.19135802469135804
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,75,N_3pct,logistic_regression,,,,,-0.07407407407407407,0.03506493506493502,-0.19753086419753074
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,rc_consistency,,100,reverse_complement,,0.8485370794191925,0.9818344155844148,,,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,perturbation_stability,,100,N_3pct,,0.004900318698140449,0.0032265433922542552,-0.016907016601185765,-0.008366747244366146,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,perturbation_stability,,100,substitution_1pct,,0.003703382755892881,0.0075561833889727925,-0.012003447342968737,-0.01713740461463581,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,motif_position,toy_motif,100,clean,nearest_centroid,,,,,-0.013888888888888895,-0.01413920178000283,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,motif_position,toy_motif,100,clean,logistic_regression,,,,,-0.041666666666666685,-0.04186681260119329,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,motif_position,toy_motif,100,N_3pct,nearest_centroid,,,,,0.02777777777777779,0.02881642512077298,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,motif_position,toy_motif,100,N_3pct,logistic_regression,,,,,0.055555555555555525,0.05451336633936393,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,rc_consistency,close_relative_wgs,100,reverse_complement,,0.8487351226846378,0.9661016949152533,,,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,perturbation_stability,close_relative_wgs,100,N_3pct,,0.006402302857518527,0.0036563448725771552,-0.018876670987531263,-0.009269209689676927,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,perturbation_stability,close_relative_wgs,100,substitution_1pct,,0.004545964814272496,0.011597982357707592,-0.01298751908986956,-0.02380748024292445,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,100,clean,nearest_centroid,,,,,0.0,0.001262626262626243,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,100,clean,logistic_regression,,,,,0.0,0.0016447368421052544,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,100,clean,nearest_centroid,,,,,-0.1111111111111111,-0.1134984296749002,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,100,clean,logistic_regression,,,,,-0.037037037037037035,-0.06350564468211534,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,100,clean,nearest_centroid,,,,,0.0,0.06547619047619047,-0.14197530864197527
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,100,clean,logistic_regression,,,,,-0.03703703703703709,-0.07508040739748051,-0.11728395061728397
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,100,clean,nearest_centroid,,,,,0.0,-0.0006313131313131493,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,100,clean,logistic_regression,,,,,0.1388888888888889,0.128030303030303,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,100,clean,nearest_centroid,,,,,-0.11111111111111105,-0.04409005628517826,-0.024691358024691412
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,100,clean,logistic_regression,,,,,0.0,0.0,0.043209876543209846
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,100,clean,nearest_centroid,,,,,0.0,0.0008356676003734576,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,100,clean,logistic_regression,,,,,0.0,-0.0016185391013766037,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,100,clean,nearest_centroid,,,,,0.14814814814814814,0.12972972972972968,0.055555555555555525
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,100,clean,logistic_regression,,,,,0.0,0.0,0.13580246913580252
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,100,clean,nearest_centroid,,,,,-0.05555555555555558,-0.06095201238390091,-0.03703703703703709
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,100,clean,logistic_regression,,,,,0.05555555555555547,0.052592879256965985,0.049382716049382824
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,100,clean,nearest_centroid,,,,,0.2222222222222222,0.22291021671826627,0.1234567901234569
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,100,clean,logistic_regression,,,,,0.0,-0.012737726669615201,0.12345679012345684
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,100,clean,nearest_centroid,,,,,-0.037037037037037035,-0.022389306599832848,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,100,clean,logistic_regression,,,,,-0.14814814814814814,-0.1557222304126329,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,100,clean,nearest_centroid,,,,,0.0,0.0,-0.13580246913580252
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,100,clean,logistic_regression,,,,,-0.07407407407407407,-0.05836466165413534,-0.1234567901234569
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,100,N_3pct,nearest_centroid,,,,,-0.027777777777777762,-0.021851196618998453,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,100,N_3pct,logistic_regression,,,,,-0.027777777777777762,-0.031985294117647056,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,100,N_3pct,nearest_centroid,,,,,-0.2222222222222222,-0.22080114874232523,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,100,N_3pct,logistic_regression,,,,,-0.2222222222222222,-0.25921458429198363,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,100,N_3pct,nearest_centroid,,,,,-0.07407407407407407,-0.06028903737882063,-0.09259259259259267
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,100,N_3pct,logistic_regression,,,,,-0.03703703703703709,-0.06361336032388665,-0.16666666666666674
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,100,N_3pct,nearest_centroid,,,,,-0.1111111111111111,-0.10089377856405721,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,100,N_3pct,logistic_regression,,,,,-0.02777777777777779,-0.046198830409356795,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,100,N_3pct,nearest_centroid,,,,,-0.11111111111111116,-0.08646377469906885,0.07098765432098764
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,100,N_3pct,logistic_regression,,,,,0.07407407407407407,0.1227272727272728,0.14814814814814814
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,100,N_3pct,nearest_centroid,,,,,0.0,-0.00694677871148458,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,100,N_3pct,logistic_regression,,,,,0.04444444444444445,0.05020796197266786,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,100,N_3pct,nearest_centroid,,,,,0.07407407407407407,0.08333333333333326,-0.06172839506172845
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,100,N_3pct,logistic_regression,,,,,0.037037037037037035,0.11697138314785377,0.03703703703703709
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,100,N_3pct,nearest_centroid,,,,,0.0,0.0,-0.04938271604938271
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,100,N_3pct,logistic_regression,,,,,0.0,-0.050000000000000044,-0.04938271604938271
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,100,N_3pct,nearest_centroid,,,,,-0.055555555555555525,-0.05744754041967659,-0.03703703703703698
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,100,N_3pct,logistic_regression,,,,,0.0,0.0,-0.06172839506172839
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,100,N_3pct,nearest_centroid,,,,,-0.07407407407407407,-0.07134502923976599,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,100,N_3pct,logistic_regression,,,,,-0.037037037037037035,-0.03947368421052633,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,100,N_3pct,nearest_centroid,,,,,-0.07407407407407407,-0.10131332082551592,-0.11728395061728403
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,100,N_3pct,logistic_regression,,,,,-0.14814814814814814,-0.20262664165103184,-0.0864197530864198
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,rc_consistency,close_relative_wgs,125,reverse_complement,,0.8206167430808791,0.9432624113475169,,,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,perturbation_stability,close_relative_wgs,125,N_3pct,,0.007714358530296894,0.005800747179267041,-0.02252979548402745,-0.01457636565422965,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,perturbation_stability,close_relative_wgs,125,substitution_1pct,,0.005344023773714124,0.012778985166311041,-0.016404108246510368,-0.028368059904362863,,,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,125,clean,nearest_centroid,,,,,0.055555555555555525,0.051681286549707606,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,125,clean,logistic_regression,,,,,-0.02777777777777779,-0.01695230723868496,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,125,clean,nearest_centroid,,,,,-0.037037037037037035,-0.028368306386882258,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,125,clean,logistic_regression,,,,,-0.1111111111111111,-0.11481481481481484,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,125,clean,nearest_centroid,,,,,0.0,0.05034965034965033,-0.11111111111111116
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,125,clean,logistic_regression,,,,,0.0,0.06547619047619047,-0.14197530864197538
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,125,clean,nearest_centroid,,,,,0.08333333333333331,0.09458874458874458,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,125,clean,logistic_regression,,,,,0.1111111111111111,0.12517087689385437,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,125,clean,nearest_centroid,,,,,0.07407407407407407,0.08120300751879694,0.04320987654320996
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,125,clean,logistic_regression,,,,,0.0,0.04052532833020639,-0.01851851851851838
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,125,clean,nearest_centroid,,,,,0.06666666666666671,0.06743419814358026,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,125,clean,logistic_regression,,,,,0.11111111111111113,0.10937908496732021,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,125,clean,nearest_centroid,,,,,0.03703703703703698,0.13631246801978503,0.07407407407407407
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,125,clean,logistic_regression,,,,,0.03703703703703698,0.0913319238900634,0.09259259259259262
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,125,clean,nearest_centroid,,,,,0.2222222222222222,0.2328173374613003,0.0864197530864198
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,125,clean,logistic_regression,,,,,0.16666666666666674,0.1703173374613003,0.09876543209876543
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,125,clean,nearest_centroid,,,,,0.05555555555555547,0.07075533162489678,0.030864197530864224
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,125,clean,logistic_regression,,,,,0.11111111111111105,0.11249999999999993,0.1234567901234569
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,125,clean,nearest_centroid,,,,,-0.037037037037037035,-0.060391964416732224,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Klebsiella,125,clean,logistic_regression,,,,,-0.2222222222222222,-0.22374831910435625,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,125,clean,nearest_centroid,,,,,0.0,0.0,-0.154320987654321
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Klebsiella,125,clean,logistic_regression,,,,,-0.07407407407407407,-0.05075187969924805,-0.1234567901234569
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,125,N_3pct,nearest_centroid,,,,,0.0,-0.025352623887083425,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Acinetobacter,125,N_3pct,logistic_regression,,,,,-0.08333333333333337,-0.08483217848542923,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,125,N_3pct,nearest_centroid,,,,,-0.14814814814814814,-0.1505561288843022,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Burkholderia,125,N_3pct,logistic_regression,,,,,-0.18518518518518517,-0.1964285714285714,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,125,N_3pct,nearest_centroid,,,,,-0.07407407407407407,-0.031231925968768115,-0.1728395061728395
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Burkholderia,125,N_3pct,logistic_regression,,,,,-0.07407407407407407,0.035714285714285754,-0.2407407407407407
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,125,N_3pct,nearest_centroid,,,,,0.16666666666666669,0.15326485109093801,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Candida,125,N_3pct,logistic_regression,,,,,0.0,-0.02420634920634923,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,125,N_3pct,nearest_centroid,,,,,0.07407407407407407,0.08333333333333326,0.015432098765432056
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Candida,125,N_3pct,logistic_regression,,,,,0.07407407407407407,0.09230769230769231,0.03703703703703709
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,125,N_3pct,nearest_centroid,,,,,-0.04444444444444445,-0.04414369256474521,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Enterobacter,125,N_3pct,logistic_regression,,,,,-0.022222222222222254,-0.027339181286549663,
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,125,N_3pct,nearest_centroid,,,,,-0.03703703703703698,0.031599214738749604,0.043209876543209846
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Enterobacter,125,N_3pct,logistic_regression,,,,,0.03703703703703698,0.0913319238900634,0.030864197530864113
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,125,N_3pct,nearest_centroid,,,,,0.11111111111111116,0.11527777777777781,0.14814814814814814
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_species,Escherichia,125,N_3pct,logistic_regression,,,,,0.05555555555555558,0.0634920634920636,0.19753086419753085
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,125,N_3pct,nearest_centroid,,,,,0.16666666666666663,0.2142857142857142,0.11111111111111116
canonicalization_on_contiguous,kmer5_count_l2,ckmer5_count_l2,close_relative_target_binary,Escherichia,125,N_3pct,logistic_regression,,,,,0.2222222222222222,0.24531024531024537,0.09876543209876543
