task,representation,length,condition,n,paired_cosine_mean,paired_cosine_median,paired_cosine_p05,l2_delta_mean,l2_delta_p95,group,classifier,n_classes,accuracy,macro_f1,auroc
close_relative_target_binary,kmer5_count_l2,75,N_3pct,90,,,,,,Enterobacter,nearest_centroid,2.0,0.6296296296296297,0.5178571428571428,0.4444444444444444
close_relative_target_binary,kmer5_count_l2,75,N_3pct,90,,,,,,Enterobacter,logistic_regression,2.0,0.7037037037037037,0.5714285714285714,0.4691358024691358
close_relative_species,kmer5_count_l2,75,N_3pct,60,,,,,,Escherichia,nearest_centroid,2.0,0.5555555555555556,0.5324675324675324,0.5185185185185186
close_relative_species,kmer5_count_l2,75,N_3pct,60,,,,,,Escherichia,logistic_regression,2.0,0.5,0.4984520123839009,0.5925925925925926
close_relative_target_binary,kmer5_count_l2,75,N_3pct,60,,,,,,Escherichia,nearest_centroid,2.0,0.7222222222222222,0.7213622291021672,0.6851851851851852
close_relative_target_binary,kmer5_count_l2,75,N_3pct,60,,,,,,Escherichia,logistic_regression,2.0,0.6111111111111112,0.6,0.654320987654321
close_relative_species,kmer5_count_l2,75,N_3pct,90,,,,,,Klebsiella,nearest_centroid,3.0,0.4074074074074074,0.39766081871345027,
close_relative_species,kmer5_count_l2,75,N_3pct,90,,,,,,Klebsiella,logistic_regression,3.0,0.48148148148148145,0.4728234728234728,
close_relative_target_binary,kmer5_count_l2,75,N_3pct,90,,,,,,Klebsiella,nearest_centroid,2.0,0.7037037037037037,0.6447368421052632,0.6851851851851852
close_relative_target_binary,kmer5_count_l2,75,N_3pct,90,,,,,,Klebsiella,logistic_regression,2.0,0.6296296296296297,0.38636363636363635,0.6728395061728394
rc_consistency,kmer5_count_l2,100,reverse_complement,400,0.1514629205808075,0.11538461538461534,0.01816558441558442,,,,,,,,
perturbation_stability,kmer5_count_l2,100,N_3pct,400,0.9458117091888846,,0.9240190757060176,0.3244957399558905,0.38982284256821764,,,,,,
perturbation_stability,kmer5_count_l2,100,substitution_1pct,400,0.9624476312957825,,0.8989819356025672,0.21491193428580196,0.4494839903699579,,,,,,
motif_position,kmer5_count_l2,100,clean,240,,,,,,toy_motif,nearest_centroid,3.0,0.375,0.3742753623188406,
