representation,probe_scaling,fold,length,condition,coordinate,train_mean,train_sd,scaler_scale,target_mean,mean_raw_delta,mean_abs_raw_delta,mean_scaled_delta,mean_abs_scaled_delta,logistic_coefficient,mean_logit_shift,mean_abs_logit_shift
ck4_p,contract,1,69,N_3pct,hydrogen_mean,0.6141332535265642,0.0066655226540235195,1.0,0.6056452925337951,-0.008368007656541835,0.008368007656541835,-0.008368007656541835,0.008368007656541835,0.3464681584555845,-0.0028992482027042805,0.0028992482027042805
ck4_p,contract,1,69,N_3pct,hydrogen_sd,0.1071344945529943,0.012468470340859558,1.0,0.1498772966278509,0.042615424823908954,0.042615424823908954,0.042615424823908954,0.042615424823908954,-0.7962762369941179,-0.03393365011668795,0.03393365011668795
ck4_p,contract,1,69,N_3pct,gc_mean,0.14560636304419286,0.03016146456188606,1.0,0.14366415620151682,-0.0014555921905718954,0.004791023675744157,-0.0014555921905718954,0.004791023675744157,1.2926302618311256,-0.0018815425144182907,0.006193022188416291
ck4_p,contract,1,69,N_3pct,gc_sd,0.10713449455299429,0.012468470340859565,1.0,0.10993356339425697,0.002671691590315046,0.003249625851347164,0.002671691590315046,0.003249625851347164,-0.7962762369941191,-0.002127404525944898,0.0025875998445495305
ck4_p,contract,1,69,N_3pct,purine_mean,0.1165813686015108,0.014643261194228133,1.0,0.11550656387156462,-0.001358214647505261,0.005989840905574326,-0.001358214647505261,0.005989840905574326,-0.19660017940325014,0.00026702524336765654,0.0011776037966328388
ck4_p,contract,1,69,N_3pct,purine_sd,0.11630026161906254,0.005922231136000965,1.0,0.11788193041445745,0.001464022761806081,0.0017790220599803207,0.001464022761806081,0.0017790220599803207,-0.23248827091375068,-0.0003403681204706696,0.00041360176264224367
ck4_p,contract,1,69,N_3pct,eiip_mean,0.027144716604226658,0.0023581088186740966,1.0,0.026759887831193416,-0.0004281574634662096,0.0005594771395080703,-0.0004281574634662096,0.0005594771395080703,-0.09187108753624287,3.933529180539985e-05,5.13997732582727e-05
ck4_p,contract,1,69,N_3pct,eiip_sd,0.005451078009416545,0.00036034785526551386,1.0,0.0071615674080223925,0.001712388898163524,0.001712388898163524,0.001712388898163524,0.001712388898163524,0.00745031524866189,1.2757837119627035e-05,1.2757837119627035e-05
ck4_p,contract,1,69,N_3pct,n_fraction,0.0,0.0,1.0,0.006895240840780273,0.006895240840780273,0.006895240840780273,0.006895240840780273,0.006895240840780273,0.0,0.0,0.0
ck4_p,contract,1,69,N_3pct,length_scaled,0.1171317226205931,0.006118363516153916,1.0,0.08207060410738719,-0.035152783842174865,0.035152783842174865,-0.035152783842174865,0.035152783842174865,-0.2365405258438841,0.008315057974904434,0.008315057974904434
ck4_p,contract,1,69,N_3pct,base_entropy,0.18766909670379245,0.017401037191925397,1.0,0.20327288678735825,0.015461418766513937,0.01548241023706791,0.015461418766513937,0.01548241023706791,-1.0847330803949273,-0.016771512405876602,0.01679428254839263
ck4_p,contract,1,69,clean,hydrogen_mean,0.6141332535265642,0.0066655226540235195,1.0,0.618769721788092,0.004756421597755037,0.004760048567910437,0.004756421597755037,0.004760048567910437,0.3464681584555845,0.0016479486318125565,0.001649205261483071
ck4_p,contract,1,69,clean,hydrogen_sd,0.1071344945529943,0.012468470340859558,1.0,0.10761887038109885,0.00035699857715690406,0.0024417907328782317,0.00035699857715690406,0.0024417907328782317,-0.7962762369941179,-0.0002842694836307538,0.0019443399363033877
ck4_p,contract,1,69,clean,gc_mean,0.14560636304419286,0.03016146456188606,1.0,0.14661850029327808,0.0014987519011893464,0.0046757798540238244,0.0014987519011893464,0.0046757798540238244,1.2926302618311256,0.0019373320624542824,0.0060440545369715186
ck4_p,contract,1,69,clean,gc_sd,0.10713449455299429,0.012468470340859565,1.0,0.10761887038109885,0.0003569985771569168,0.0024417907328782335,0.0003569985771569168,0.0024417907328782335,-0.7962762369941191,-0.00028426948363076437,0.001944339936303392
ck4_p,contract,1,69,clean,purine_mean,0.1165813686015108,0.014643261194228133,1.0,0.11789466109030068,0.001029882571230816,0.005781028664514233,0.001029882571230816,0.005781028664514233,-0.19660017940325014,-0.00020247509826825898,0.0011365512725788297
ck4_p,contract,1,69,clean,purine_sd,0.11630026161906254,0.005922231136000965,1.0,0.11702040679041968,0.0006024991377682999,0.0011710052186614333,0.0006024991377682999,0.0011710052186614333,-0.23248827091375068,-0.0001400739827667777,0.0002722449785175752
ck4_p,contract,1,69,clean,eiip_mean,0.027144716604226658,0.0023581088186740966,1.0,0.027356192492390782,0.0001681471977311579,0.0004390569146096158,0.0001681471977311579,0.0004390569146096158,-0.09187108753624287,-1.5447865921733145e-05,4.033663623549272e-05
ck4_p,contract,1,69,clean,eiip_sd,0.005451078009416545,0.00036034785526551386,1.0,0.005481010460870904,3.1831951012035575e-05,9.620243083010599e-05,3.1831951012035575e-05,9.620243083010599e-05,0.00745031524866189,2.3715807001962692e-07,7.167384373718793e-07
ck4_p,contract,1,69,clean,n_fraction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck4_p,contract,1,69,clean,length_scaled,0.1171317226205931,0.006118363516153916,1.0,0.0814460857078554,-0.03577730224170666,0.03577730224170666,-0.03577730224170666,0.03577730224170666,-0.2365405258438841,0.008462781885528868,0.008462781885528868
ck4_p,contract,1,69,clean,base_entropy,0.18766909670379245,0.017401037191925397,1.0,0.1881334477897853,0.00032197976894098864,0.003401348016395532,0.00032197976894098864,0.003401348016395532,-1.0847330803949273,-0.0003492621065882056,0.003689554711319901
ck4_p,contract,1,69,substitution_1pct,hydrogen_mean,0.6141332535265642,0.0066655226540235195,1.0,0.618611293372412,0.004597993182075197,0.0046193106423188,0.004597993182075197,0.0046193106423188,0.3464681584555845,0.0015930582303849265,0.001600444051578478
ck4_p,contract,1,69,substitution_1pct,hydrogen_sd,0.1071344945529943,0.012468470340859558,1.0,0.10800631226313975,0.0007444404591978161,0.0025104030336710473,0.0007444404591978161,0.0025104030336710473,-0.7962762369941179,-0.0005927802475162102,0.0019989742809901996
ck4_p,contract,1,69,substitution_1pct,gc_mean,0.14560636304419286,0.03016146456188606,1.0,0.14622624214995814,0.0011064937578694244,0.00479203634555769,0.0011064937578694244,0.00479203634555769,1.2926302618311256,0.0014302873159492602,0.006194331196062507
ck4_p,contract,1,69,substitution_1pct,gc_sd,0.10713449455299429,0.012468470340859565,1.0,0.10800631226313977,0.0007444404591978299,0.002510403033671051,0.0007444404591978299,0.002510403033671051,-0.7962762369941191,-0.000592780247516222,0.0019989742809902048
ck4_p,contract,1,69,substitution_1pct,purine_mean,0.1165813686015108,0.014643261194228133,1.0,0.1179328231616559,0.001068044642586029,0.006059865153475926,0.001068044642586029,0.006059865153475926,-0.19660017940325014,-0.00020997776834309347,0.001191370576332871
ck4_p,contract,1,69,substitution_1pct,purine_sd,0.11630026161906254,0.005922231136000965,1.0,0.11707651515406382,0.000658607501412444,0.0012261650647073716,0.000658607501412444,0.0012261650647073716,-0.23248827091375068,-0.0001531185192142047,0.0002850689957486641
ck4_p,contract,1,69,substitution_1pct,eiip_mean,0.027144716604226658,0.0023581088186740966,1.0,0.027377677805202692,0.00018963251054306826,0.00045624468274216317,0.00018963251054306826,0.00045624468274216317,-0.09187108753624287,-1.742174497581972e-05,4.1915695186150624e-05
ck4_p,contract,1,69,substitution_1pct,eiip_sd,0.005451078009416545,0.00036034785526551386,1.0,0.005482466748725454,3.328823886658615e-05,0.0001002177211072744,3.328823886658615e-05,0.0001002177211072744,0.00745031524866189,2.480078736288262e-07,7.46653615751671e-07
ck4_p,contract,1,69,substitution_1pct,n_fraction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck4_p,contract,1,69,substitution_1pct,length_scaled,0.1171317226205931,0.006118363516153916,1.0,0.0814864213358733,-0.03573696661368875,0.03573696661368875,-0.03573696661368875,0.03573696661368875,-0.2365405258438841,0.008453240874867266,0.008453240874867266
ck4_p,contract,1,69,substitution_1pct,base_entropy,0.18766909670379245,0.017401037191925397,1.0,0.1885986428086539,0.0007871747878095703,0.0034513580483883062,0.0007871747878095703,0.0034513580483883062,-1.0847330803949273,-0.0008538745323898985,0.0037438022473740722
ck4_p,contract,1,75,N_3pct,hydrogen_mean,0.6141332535265642,0.0066655226540235195,1.0,0.6057890815094716,-0.008224218680865317,0.008224218680865317,-0.008224218680865317,0.008224218680865317,0.3464681584555845,-0.0028494299010954228,0.0028494299010954228
ck4_p,contract,1,75,N_3pct,hydrogen_sd,0.1071344945529943,0.012468470340859558,1.0,0.14685570794835617,0.03959383614441423,0.03959383614441423,0.03959383614441423,0.03959383614441423,-0.7962762369941179,-0.03152763085323586,0.03152763085323586
ck4_p,contract,1,75,N_3pct,gc_mean,0.14560636304419286,0.03016146456188606,1.0,0.14339620061298794,-0.0017235477791007555,0.004224175417595933,-0.0017235477791007555,0.004224175417595933,1.2926302618311256,-0.0022279100169774646,0.0054602969760676355
ck4_p,contract,1,75,N_3pct,gc_sd,0.10713449455299429,0.012468470340859565,1.0,0.10969558718236165,0.002433715378419723,0.002982915099499675,0.002433715378419723,0.002982915099499675,-0.7962762369941191,-0.0019379097234427758,0.0023752244107025397
ck4_p,contract,1,75,N_3pct,purine_mean,0.1165813686015108,0.014643261194228133,1.0,0.11552740031136127,-0.0013373782077085903,0.00531951833371217,-0.0013373782077085903,0.00531951833371217,-0.19660017940325014,0.000262928795565506,0.001045818258746691
ck4_p,contract,1,75,N_3pct,purine_sd,0.11630026161906254,0.005922231136000965,1.0,0.11780660039026462,0.001388692737613254,0.0015823170998656752,0.001388692737613254,0.0015823170998656752,-0.23248827091375068,-0.0003228547733981883,0.00036787016658503143
ck4_p,contract,1,75,N_3pct,eiip_mean,0.027144716604226658,0.0023581088186740966,1.0,0.026792899885022793,-0.0003951454096368284,0.0005058253338499537,-0.0003951454096368284,0.0005058253338499537,-0.09187108753624287,3.6302438518289605e-05,4.647072352417837e-05
ck4_p,contract,1,75,N_3pct,eiip_sd,0.005451078009416545,0.00036034785526551386,1.0,0.007038093894206918,0.0015889153843480503,0.0015889153843480503,0.0015889153843480503,0.0015889153843480503,0.00745031524866189,1.1837920516841746e-05,1.1837920516841746e-05
ck4_p,contract,1,75,N_3pct,n_fraction,0.0,0.0,1.0,0.006334149053376488,0.006334149053376488,0.006334149053376488,0.006334149053376488,0.006334149053376488,0.0,0.0,0.0
ck4_p,contract,1,75,N_3pct,length_scaled,0.1171317226205931,0.006118363516153916,1.0,0.08907397106310687,-0.02814941688645519,0.02814941688645519,-0.02814941688645519,0.02814941688645519,-0.2365405258438841,0.006658477872520821,0.006658477872520821
ck4_p,contract,1,75,N_3pct,base_entropy,0.18766909670379245,0.017401037191925397,1.0,0.20251820042291555,0.01470673240207125,0.01471465623763827,0.01470673240207125,0.01471465623763827,-1.0847330803949273,-0.01595287914104264,0.015961474387605794
