representation,representation_label,n_features,n_variant_rows,feature_seconds,probe_seconds
ck4,CK4,136,22374,2.100212699995609,0.723801199994341
ck4_p,CK4+P,147,22374,1.808986099997128,0.7168380000002799
ck4_msp,CK4+MSP,211,22374,1.9425678000043263,0.6835907999993651
ck4p_msp,CK4P-MSP,222,22374,1.9085672000001068,0.7459230999957072
ck5,CK5,512,22374,1.7451289000018733,0.9810952999978326
pseknc_k3_l3,PseKNC,67,22374,34.119898099997954,0.5208536999998614
ncp_anf,NCP+ANF,400,22374,1.1966162000026088,0.7906779999975697
pseeiip,PseEIIP,64,22374,0.7173222999990685,0.5091062999999849
hash_k15_d222,Hashed k=15,222,22374,4.0480118000050425,0.5985436999981175
