probe_scaling,length,condition,comparator,ck4p_msp_macro_f1,comparator_macro_f1,absolute_f1_difference,absolute_difference_ci_low,absolute_difference_ci_high,relative_drop_difference,relative_drop_ci_low,relative_drop_ci_high
contract,69,N_3pct,ck4,0.8808638285554049,0.881715606307776,-0.0008517777523711079,-0.006482918353415015,0.004771652842046889,0.007730952625437548,0.00042827162360609686,0.015409343897499178
contract,69,N_3pct,ck4_p,0.8808638285554049,0.8825054303315173,-0.0016416017761123891,-0.005256534130544358,0.0016123829026724798,1.4115585661556018e-05,-0.00403428009611623,0.004077912302856937
contract,69,N_3pct,ck4_msp,0.8808638285554049,0.8832916753004558,-0.002427846745050921,-0.005652364146025166,0.0007928937995855561,-0.0011807168864355067,-0.005193551122454901,0.0024807910625209645
contract,69,N_3pct,pseknc_k3_l3,0.8808638285554049,0.8743797798011796,0.006484048754225258,-0.0007485939431950362,0.013750787733937894,0.004940838466293673,-0.003950024768735008,0.013976260150341263
contract,69,N_3pct,pseeiip,0.8808638285554049,0.8816025555875939,-0.0007387270321890238,-0.007184055620472168,0.006485563990083443,0.0025600143148982735,-0.006277251000412385,0.011368992430883955
contract,69,N_3pct,ck5,0.8808638285554049,0.8667793479219941,0.014084480633410834,0.00486736350457016,0.02267252057508111,0.02066303143389514,0.01023039254558426,0.031127209780572356
contract,69,clean,ck4,0.8839402427637721,0.8860893552001894,-0.0021491124364172443,-0.007887779268020369,0.0035029939584485803,0.006433617941391412,-0.0008323979113767255,0.013301056520591844
contract,69,clean,ck4_p,0.8839402427637721,0.8848114169215087,-0.0008711741577365206,-0.004507145586530687,0.002751195729141159,0.0007845432040374245,-0.003666657262567927,0.005223643024094252
contract,69,clean,ck4_msp,0.8839402427637721,0.8844053448687883,-0.00046510210501615745,-0.003727016698250321,0.002769580748384434,0.000782027753599257,-0.0036541372915971176,0.004849507544897241
contract,69,clean,pseknc_k3_l3,0.8839402427637721,0.8819212394348479,0.0020190033289242404,-0.004835672498758834,0.008092399557040638,0.00047579304099265585,-0.007995515311465107,0.008926896843066892
contract,69,clean,pseeiip,0.8839402427637721,0.8819748111778133,0.0019654315859588545,-0.0048353715714849034,0.00877849763215599,0.005264172933046152,-0.0035268400775978538,0.012915897897719103
contract,69,clean,ck5,0.8839402427637721,0.8793235126598664,0.004616730103905731,-0.0031213428504284794,0.013068979729151579,0.011195280904390037,0.00217260269921796,0.020124821510947324
contract,69,substitution_1pct,ck4,0.8824015033696215,0.8804845418146766,0.0019169615549449182,-0.0033322110380414856,0.007110568940089437,0.010499691932753574,0.0032365111249057304,0.01738012409548237
contract,69,substitution_1pct,ck4_p,0.8824015033696215,0.8832541792328659,-0.0008526758632443343,-0.004464159561579095,0.002376364840409445,0.0008030414985296108,-0.0032480660674330587,0.004834596402818328
contract,69,substitution_1pct,ck4_msp,0.8824015033696215,0.8832541792328659,-0.0008526758632443343,-0.004482106858086451,0.0023787246707892675,0.00039445399537108017,-0.0036762625298859177,0.004443103398507076
contract,69,substitution_1pct,pseknc_k3_l3,0.8824015033696215,0.8783306366714896,0.0040708666981319475,-0.0027359384978787953,0.010885502594539105,0.002527656410200363,-0.0055731243117381115,0.010969904800032187
contract,69,substitution_1pct,pseeiip,0.8824015033696215,0.8803776565366903,0.00202384683293122,-0.004849896237972387,0.008473423420998378,0.005322588180018517,-0.003201774078078223,0.01337020586928558
contract,69,substitution_1pct,ck5,0.8824015033696215,0.8765039512321335,0.0058975521374879936,-0.0029306732115619433,0.014484923679395295,0.0124761029379723,0.0023347557010175183,0.021843106933834164
contract,75,N_3pct,ck4,0.8816151359714509,0.8788582773982034,0.002756858573247478,-0.002473470279598261,0.008028679821991031,0.011339588951056134,0.004130127119428353,0.017782000362762646
contract,75,N_3pct,ck4_p,0.8816151359714509,0.8808492447990881,0.0007658911723628092,-0.002459029508533314,0.0039765836876652335,0.0024216085341367544,-0.001615247770530831,0.0068202248951524935
contract,75,N_3pct,ck4_msp,0.8816151359714509,0.881596034214619,1.910175683195181e-05,-0.0032043306176657016,0.0032285220035313447,0.0012662316154473663,-0.002809652871525464,0.004920176447361582
contract,75,N_3pct,pseknc_k3_l3,0.8816151359714509,0.8763836147169846,0.005231521254466354,-0.002405843702766411,0.012511009297042727,0.003688310966534769,-0.005494597369398976,0.01177664158221612
contract,75,N_3pct,pseeiip,0.8816151359714509,0.8819887318695294,-0.0003735958980785048,-0.00716334526133543,0.006859760251613872,0.0029251454490087925,-0.0055749954098352145,0.01180682984077271
contract,75,N_3pct,ck5,0.8816151359714509,0.8708616778761016,0.010753458095349333,0.0019301168457392327,0.019977748844899768,0.01733200889583364,0.006902133754697901,0.027798920712826636
contract,75,clean,ck4,0.8859183868385305,0.8876462809965551,-0.0017278941580245455,-0.006625967762449586,0.003468483408837674,0.006854836219784111,0.0004145972226954814,0.013339268866631842
contract,75,clean,ck4_p,0.8859183868385305,0.8880067671585389,-0.002088380320008354,-0.005741627825675474,0.0011306700539289198,-0.0004326629582344088,-0.004899649235471556,0.0036682018080700872
contract,75,clean,ck4_msp,0.8859183868385305,0.8880067671585389,-0.002088380320008354,-0.0053414937451503,0.001147682044770268,-0.0008412504613929395,-0.004935855673251522,0.002820860753755658
contract,75,clean,pseknc_k3_l3,0.8859183868385305,0.8782546369718847,0.007663749866645864,0.0016308671822590048,0.013817713263595077,0.006120539578714279,-0.0019485067192935828,0.014561394895368378
contract,75,clean,pseeiip,0.8859183868385305,0.8835930177262649,0.002325369112265663,-0.004103512928435809,0.008401667460019214,0.00562411045935296,-0.0027723325903375143,0.013775012267270294
contract,75,clean,ck5,0.8859183868385305,0.8897570253669349,-0.003838638528404381,-0.012658523845179709,0.004143502188614161,0.002739912272079925,-0.006156567400776153,0.01037676354054576
contract,75,substitution_1pct,ck4,0.8868017107288066,0.8901188784865154,-0.003317167757708739,-0.008560422420347283,0.001945815098967024,0.005265562620099917,-0.0016634981604909198,0.0120803008168367
contract,75,substitution_1pct,ck4_p,0.8868017107288066,0.8900849953786263,-0.00328328464981964,-0.007327925113596759,0.00036002874901812636,-0.0016275672880456948,-0.006126270990252685,0.0028401710576360724
contract,75,substitution_1pct,ck4_msp,0.8868017107288066,0.8892850647633382,-0.002483354034531593,-0.006911408855624671,0.0015681706651749726,-0.0012362241759161785,-0.006474650711605401,0.003205620134341791
contract,75,substitution_1pct,pseknc_k3_l3,0.8868017107288066,0.8762877540596622,0.010513956669144453,0.003671525597731823,0.01702154970821447,0.008970746381212868,0.0008727696752670101,0.017407344218149778
contract,75,substitution_1pct,pseeiip,0.8868017107288066,0.8799917060037517,0.006810004725054997,0.00034412227977281276,0.014120450452863918,0.010108746072142294,0.0012248870158221765,0.01940154627427436
contract,75,substitution_1pct,ck5,0.8868017107288066,0.8837447619090769,0.0030569488197297323,-0.005027642972380488,0.011461412392039632,0.009635499620214039,0.000723353467915136,0.018494391560965967
contract,100,N_3pct,ck4,0.88992426472556,0.8927909033841237,-0.002866638658563736,-0.007781375287200898,0.001990743665145498,0.00571609171924492,7.186764759503917e-05,0.011751663406537535
contract,100,N_3pct,ck4_p,0.88992426472556,0.8899735178894074,-4.925316384740697e-05,-0.0029256374982828404,0.003183813514371672,0.0016064641979265382,-0.0020396156483994342,0.005639824429209114
contract,100,N_3pct,ck4_msp,0.88992426472556,0.8903143968518139,-0.0003901321262539392,-0.0036270718525854783,0.0028447586143510754,0.0008569977323614753,-0.002779624840631126,0.0048987453757534044
contract,100,N_3pct,pseknc_k3_l3,0.88992426472556,0.8900376949455719,-0.00011343022001197856,-0.00703053224369502,0.006782417492010548,-0.001656640507943563,-0.00890420757104433,0.005545811710912215
contract,100,N_3pct,pseeiip,0.88992426472556,0.8935404440032313,-0.0036161792776713275,-0.010898785991088025,0.0032697048234033017,-0.00031743793058403025,-0.007560543709455253,0.006535822584213538
contract,100,N_3pct,ck5,0.88992426472556,0.8908848613122822,-0.0009605965867222066,-0.007860392843155265,0.006279781037793677,0.0056179542137621,-0.0012658097141683422,0.012439835631169547
contract,100,clean,ck4,0.8925992985000062,0.9011820288778148,-0.008582730377808656,-0.013839744285964541,-0.003689096866379829,0.0,0.0,0.0
contract,100,clean,ck4_p,0.8925992985000062,0.8942550158617801,-0.0016557173617739451,-0.004100152535186516,0.0007661941666297855,0.0,0.0,0.0
contract,100,clean,ck4_msp,0.8925992985000062,0.8938464283586216,-0.0012471298586154145,-0.0036855039805820055,0.0007894396605491819,0.0,0.0,0.0
contract,100,clean,pseknc_k3_l3,0.8925992985000062,0.8910560882120746,0.0015432102879315845,-0.004642093278065276,0.008417068394270371,0.0,0.0,0.0
contract,100,clean,pseeiip,0.8925992985000062,0.8958980398470935,-0.0032987413470872973,-0.010233493202827572,0.0035712490742213798,0.0,0.0,0.0
contract,100,clean,ck5,0.8925992985000062,0.8991778493004905,-0.006578550800484306,-0.012698534979697012,-0.000905599390793638,0.0,0.0,0.0
contract,100,substitution_1pct,ck4,0.8926603854562123,0.9000236753941304,-0.007363289937918127,-0.012223581421061547,-0.0029051047463418194,0.001219440439890529,-0.003244758296625447,0.005719971036559754
contract,100,substitution_1pct,ck4_p,0.8926603854562123,0.8951186251900931,-0.002458239733880818,-0.004907391831998087,-2.6307776379946952e-05,-0.000802522372106873,-0.0036490080317450628,0.002057158373195103
contract,100,substitution_1pct,ck4_msp,0.8926603854562123,0.8947107078336787,-0.002050322377466385,-0.004483765903079087,-9.824500000574231e-06,-0.0008031925188509703,-0.003644197754328629,0.002022933818812919
contract,100,substitution_1pct,pseknc_k3_l3,0.8926603854562123,0.8915109131682053,0.0011494722880069919,-0.005336433918935793,0.007270713869225472,-0.0003937379999245927,-0.004842593709900237,0.004434746609922291
contract,100,substitution_1pct,pseeiip,0.8926603854562123,0.8951275421462801,-0.0024671566900678066,-0.00856078855176658,0.003989517720904875,0.0008315846570194907,-0.004060155317839961,0.005676316556098987
contract,100,substitution_1pct,ck5,0.8926603854562123,0.8972352083818642,-0.004574822925651922,-0.010654820078180787,0.0010598729276065282,0.002003727874832384,-0.003253745309706546,0.007239388990472517
