representation,classifier,split,fold,task,length,condition,n_samples,n_groups,n_classes,n_features,accuracy,macro_f1,genus,label_col
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,512,0.045454545454545456,0.041666666666666664,Acinetobacter,label
ckmer5_count_l2,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,116,116,4,512,0.09090909090909091,0.058823529411764705,Acinetobacter,label
ck4,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,136,0.4375,0.4279202279202279,Burkholderia,label
ck4,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,136,0.3125,0.3173789173789174,Burkholderia,label
ck4,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,136,0.25,0.2643097643097643,Burkholderia,label
ck4,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,136,0.375,0.335978835978836,Burkholderia,label
ck4,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,136,0.1875,0.15018315018315018,Burkholderia,label
ck4,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,136,0.3125,0.3089133089133089,Burkholderia,label
ck4,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,136,0.3333333333333333,0.27505827505827507,Burkholderia,label
ck4,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,136,0.4,0.35714285714285715,Burkholderia,label
ck4,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,136,0.25,0.2619047619047619,Burkholderia,label
ck4,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,136,0.3125,0.2945868945868946,Burkholderia,label
ck4_p,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,147,0.4375,0.4279202279202279,Burkholderia,label
ck4_p,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,147,0.3125,0.3173789173789174,Burkholderia,label
ck4_p,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,147,0.25,0.2643097643097643,Burkholderia,label
ck4_p,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,147,0.3125,0.2987012987012987,Burkholderia,label
ck4_p,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,147,0.1875,0.15018315018315018,Burkholderia,label
ck4_p,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,147,0.3125,0.3089133089133089,Burkholderia,label
ck4_p,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,147,0.3333333333333333,0.27505827505827507,Burkholderia,label
ck4_p,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,147,0.4,0.35714285714285715,Burkholderia,label
ck4_p,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,147,0.25,0.2619047619047619,Burkholderia,label
ck4_p,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,147,0.1875,0.1878787878787879,Burkholderia,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,222,0.4375,0.4279202279202279,Burkholderia,label
ck4p_msp,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,222,0.4375,0.4428571428571429,Burkholderia,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,222,0.25,0.2643097643097643,Burkholderia,label
ck4p_msp,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,222,0.4375,0.41010101010101013,Burkholderia,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,222,0.1875,0.15384615384615385,Burkholderia,label
ck4p_msp,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,222,0.25,0.25335775335775335,Burkholderia,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,222,0.3333333333333333,0.27505827505827507,Burkholderia,label
ck4p_msp,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,222,0.3333333333333333,0.273015873015873,Burkholderia,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,222,0.25,0.2619047619047619,Burkholderia,label
ck4p_msp,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,222,0.1875,0.15584415584415584,Burkholderia,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,468,0.375,0.36507936507936506,Burkholderia,label
ckmer5_count_l2,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,79,79,3,468,0.4375,0.44172494172494176,Burkholderia,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,468,0.25,0.27777777777777773,Burkholderia,label
ckmer5_count_l2,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,79,79,3,468,0.375,0.3076923076923077,Burkholderia,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,468,0.125,0.09523809523809523,Burkholderia,label
ckmer5_count_l2,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,79,79,3,468,0.25,0.2619047619047619,Burkholderia,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,468,0.3333333333333333,0.291005291005291,Burkholderia,label
