split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.725,0.5487179487179488,1104,all_labels,genus,Enterobacter,target_binary,69,N_3pct,rope_property,400,2
holdout,nearest_centroid,0.5416666666666666,0.5416666666666666,510,all_labels,genus,Escherichia,target_binary,69,N_3pct,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.625,0.6223776223776224,136,all_labels,genus,Escherichia,target_binary,69,N_3pct,cspaced_count_l2,160,2
holdout,nearest_centroid,0.625,0.6223776223776224,147,all_labels,genus,Escherichia,target_binary,69,N_3pct,cspaced_property_l2,160,2
holdout,nearest_centroid,0.6666666666666666,0.6613756613756614,1008,all_labels,genus,Escherichia,target_binary,69,N_3pct,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4583333333333333,0.4583333333333333,1104,all_labels,genus,Escherichia,target_binary,69,N_3pct,rope_property,160,2
holdout,nearest_centroid,0.5277777777777778,0.4962962962962963,510,all_labels,genus,Klebsiella,target_binary,69,N_3pct,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.4861111111111111,0.4557711950970378,136,all_labels,genus,Klebsiella,target_binary,69,N_3pct,cspaced_count_l2,240,2
holdout,nearest_centroid,0.4861111111111111,0.4557711950970378,147,all_labels,genus,Klebsiella,target_binary,69,N_3pct,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5972222222222222,0.5734422880490296,1008,all_labels,genus,Klebsiella,target_binary,69,N_3pct,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.6111111111111112,0.5527950310559007,1104,all_labels,genus,Klebsiella,target_binary,69,N_3pct,rope_property,240,2
holdout,nearest_centroid,0.6666666666666666,0.5877616747181964,512,all_labels,genus,Candida,target_binary,75,clean,ckmer5_count_l2,320,2
holdout,nearest_centroid,0.4791666666666667,0.4444444444444445,136,all_labels,genus,Candida,target_binary,75,clean,cspaced_count_l2,320,2
holdout,nearest_centroid,0.4895833333333333,0.4457405443619654,147,all_labels,genus,Candida,target_binary,75,clean,cspaced_property_l2,320,2
holdout,nearest_centroid,0.5520833333333334,0.492063492063492,1104,all_labels,genus,Candida,target_binary,75,clean,spaced_kmer_phase,320,2
holdout,nearest_centroid,0.5104166666666666,0.4353647853835565,1200,all_labels,genus,Candida,target_binary,75,clean,rope_property,320,2
holdout,nearest_centroid,0.5555555555555556,0.5428571428571429,498,all_labels,genus,Burkholderia,target_binary,75,clean,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.5277777777777778,0.5032467532467533,136,all_labels,genus,Burkholderia,target_binary,75,clean,cspaced_count_l2,240,2
holdout,nearest_centroid,0.5,0.4803528468323977,147,all_labels,genus,Burkholderia,target_binary,75,clean,cspaced_property_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.6410767696909272,1104,all_labels,genus,Burkholderia,target_binary,75,clean,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.5972222222222222,0.5734422880490296,1200,all_labels,genus,Burkholderia,target_binary,75,clean,rope_property,240,2
holdout,nearest_centroid,0.6666666666666666,0.5555555555555556,511,all_labels,genus,Enterobacter,target_binary,75,clean,ckmer5_count_l2,400,2
holdout,nearest_centroid,0.575,0.4979903207284062,136,all_labels,genus,Enterobacter,target_binary,75,clean,cspaced_count_l2,400,2
holdout,nearest_centroid,0.575,0.4979903207284062,147,all_labels,genus,Enterobacter,target_binary,75,clean,cspaced_property_l2,400,2
holdout,nearest_centroid,0.6,0.5238095238095238,1104,all_labels,genus,Enterobacter,target_binary,75,clean,spaced_kmer_phase,400,2
holdout,nearest_centroid,0.6666666666666666,0.5341614906832298,1200,all_labels,genus,Enterobacter,target_binary,75,clean,rope_property,400,2
holdout,nearest_centroid,0.4583333333333333,0.457391304347826,508,all_labels,genus,Escherichia,target_binary,75,clean,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.4583333333333333,0.457391304347826,136,all_labels,genus,Escherichia,target_binary,75,clean,cspaced_count_l2,160,2
holdout,nearest_centroid,0.4583333333333333,0.4545454545454546,147,all_labels,genus,Escherichia,target_binary,75,clean,cspaced_property_l2,160,2
holdout,nearest_centroid,0.4583333333333333,0.4545454545454546,1104,all_labels,genus,Escherichia,target_binary,75,clean,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4166666666666667,0.4125874125874126,1200,all_labels,genus,Escherichia,target_binary,75,clean,rope_property,160,2
holdout,nearest_centroid,0.5972222222222222,0.519226341238775,510,all_labels,genus,Klebsiella,target_binary,75,clean,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.595959595959596,136,all_labels,genus,Klebsiella,target_binary,75,clean,cspaced_count_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.6133190118152524,147,all_labels,genus,Klebsiella,target_binary,75,clean,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5277777777777778,0.5032467532467533,1104,all_labels,genus,Klebsiella,target_binary,75,clean,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.6666666666666666,0.616681455190772,1200,all_labels,genus,Klebsiella,target_binary,75,clean,rope_property,240,2
holdout,nearest_centroid,0.6354166666666666,0.5540809555408095,509,all_labels,genus,Candida,target_binary,75,N_3pct,ckmer5_count_l2,320,2
holdout,nearest_centroid,0.4895833333333333,0.4585012087026591,136,all_labels,genus,Candida,target_binary,75,N_3pct,cspaced_count_l2,320,2
holdout,nearest_centroid,0.46875,0.436399217221135,147,all_labels,genus,Candida,target_binary,75,N_3pct,cspaced_property_l2,320,2
holdout,nearest_centroid,0.5208333333333334,0.4609375,1104,all_labels,genus,Candida,target_binary,75,N_3pct,spaced_kmer_phase,320,2
holdout,nearest_centroid,0.5208333333333334,0.4424242424242424,1200,all_labels,genus,Candida,target_binary,75,N_3pct,rope_property,320,2
