pair_id,length,representation,representation_label,l2_drift,paired_cosine,n_features
order_pair_000091,69,ck4,CK4,0.0,1.0,136
order_pair_000092,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000093,69,ck4,CK4,0.0,1.0,136
order_pair_000094,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000095,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000096,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000097,69,ck4,CK4,0.0,1.0,136
order_pair_000098,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000099,69,ck4,CK4,0.0,1.0,136
order_pair_000100,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000101,69,ck4,CK4,0.0,1.0,136
order_pair_000102,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000103,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000104,69,ck4,CK4,0.0,0.9999999999999997,136
order_pair_000105,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000106,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000107,69,ck4,CK4,0.0,1.0,136
order_pair_000108,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000109,69,ck4,CK4,0.0,1.0,136
order_pair_000110,69,ck4,CK4,0.0,1.0,136
order_pair_000111,69,ck4,CK4,0.0,1.0,136
order_pair_000112,69,ck4,CK4,0.0,1.0,136
order_pair_000113,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000114,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000115,69,ck4,CK4,0.0,1.0,136
order_pair_000116,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000117,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000118,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000119,69,ck4,CK4,0.0,1.0,136
order_pair_000120,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000121,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000122,69,ck4,CK4,0.0,1.0,136
order_pair_000123,69,ck4,CK4,0.0,1.0,136
order_pair_000124,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000125,69,ck4,CK4,0.0,1.0,136
order_pair_000126,69,ck4,CK4,0.0,1.0,136
order_pair_000127,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000128,69,ck4,CK4,0.0,1.0,136
order_pair_000129,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000130,69,ck4,CK4,0.0,0.9999999999999997,136
order_pair_000131,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000132,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000133,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000134,69,ck4,CK4,0.0,1.0,136
order_pair_000135,69,ck4,CK4,0.0,1.0,136
order_pair_000136,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000137,69,ck4,CK4,0.0,1.0,136
order_pair_000138,69,ck4,CK4,0.0,1.0,136
order_pair_000139,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000140,69,ck4,CK4,0.0,1.0,136
order_pair_000141,69,ck4,CK4,0.0,1.0,136
order_pair_000142,69,ck4,CK4,0.0,1.0,136
order_pair_000143,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000144,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000145,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000146,69,ck4,CK4,0.0,1.0,136
order_pair_000147,69,ck4,CK4,0.0,1.0000000000000004,136
order_pair_000148,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000149,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000150,69,ck4,CK4,0.0,1.0,136
order_pair_000151,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000152,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000153,69,ck4,CK4,0.0,1.0,136
order_pair_000154,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000155,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000156,69,ck4,CK4,0.0,1.0,136
order_pair_000157,69,ck4,CK4,0.0,1.0,136
order_pair_000158,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000159,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000160,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000161,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000162,69,ck4,CK4,0.0,1.0,136
order_pair_000163,69,ck4,CK4,0.0,1.0,136
order_pair_000164,69,ck4,CK4,0.0,1.0,136
order_pair_000165,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000166,69,ck4,CK4,0.0,1.0,136
order_pair_000167,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000168,69,ck4,CK4,0.0,1.0,136
order_pair_000169,69,ck4,CK4,0.0,1.0,136
order_pair_000170,69,ck4,CK4,0.0,1.0,136
order_pair_000171,69,ck4,CK4,0.0,1.0,136
order_pair_000172,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000173,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000174,69,ck4,CK4,0.0,1.0,136
order_pair_000175,69,ck4,CK4,0.0,1.0,136
order_pair_000176,69,ck4,CK4,0.0,1.0,136
order_pair_000177,69,ck4,CK4,0.0,1.0,136
order_pair_000178,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000179,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000180,69,ck4,CK4,0.0,1.0,136
order_pair_000181,69,ck4,CK4,0.0,1.0,136
order_pair_000182,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000183,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000184,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000185,69,ck4,CK4,0.0,0.9999999999999998,136
order_pair_000186,69,ck4,CK4,0.0,1.0,136
order_pair_000187,69,ck4,CK4,0.0,1.0,136
order_pair_000188,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000189,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000190,69,ck4,CK4,0.0,1.0,136
order_pair_000191,69,ck4,CK4,0.0,1.0,136
order_pair_000192,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000193,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000194,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000195,69,ck4,CK4,0.0,1.0,136
order_pair_000196,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000197,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000198,69,ck4,CK4,0.0,1.0,136
order_pair_000199,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000200,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000201,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000202,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000203,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000204,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000205,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000206,69,ck4,CK4,0.0,1.0,136
order_pair_000207,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000208,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000209,69,ck4,CK4,0.0,1.0,136
order_pair_000210,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000211,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000212,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000213,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000214,69,ck4,CK4,0.0,1.0,136
order_pair_000215,69,ck4,CK4,0.0,1.0,136
order_pair_000216,69,ck4,CK4,0.0,1.0,136
order_pair_000217,69,ck4,CK4,0.0,1.0,136
order_pair_000218,69,ck4,CK4,0.0,1.0,136
order_pair_000219,69,ck4,CK4,0.0,1.0,136
order_pair_000220,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000221,69,ck4,CK4,0.0,1.0,136
order_pair_000222,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000223,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000224,69,ck4,CK4,0.0,1.0,136
order_pair_000225,69,ck4,CK4,0.0,1.0,136
order_pair_000226,69,ck4,CK4,0.0,0.9999999999999997,136
order_pair_000227,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000228,69,ck4,CK4,0.0,1.0,136
order_pair_000229,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000230,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000231,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000232,69,ck4,CK4,0.0,1.0,136
order_pair_000233,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000234,69,ck4,CK4,0.0,1.0,136
order_pair_000235,69,ck4,CK4,0.0,1.0,136
order_pair_000236,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000237,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000238,69,ck4,CK4,0.0,1.0,136
order_pair_000239,69,ck4,CK4,0.0,1.0,136
order_pair_000240,69,ck4,CK4,0.0,1.0,136
order_pair_000241,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000242,69,ck4,CK4,0.0,1.0,136
order_pair_000243,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000244,69,ck4,CK4,0.0,0.9999999999999997,136
order_pair_000245,69,ck4,CK4,0.0,1.0,136
order_pair_000246,69,ck4,CK4,0.0,1.0,136
order_pair_000247,69,ck4,CK4,0.0,1.0000000000000002,136
