length,representation,representation_label,n_pairs,l2_drift_mean,l2_drift_median,l2_drift_p95,paired_cosine_mean,n_features
69,ck4,CK4,400,0.0,0.0,0.0,1.0,136
69,ck4_msp,CK4+MSP,400,0.06272366171674143,0.06019210033762849,0.09822385205442899,0.9978518421955057,211
69,ck4_p,CK4+P,400,2.6096906398421533e-17,1.865846672146684e-17,6.390840253457666e-17,1.0000000000000002,147
69,ck4p_msp,CK4P-MSP,400,0.05121365533498668,0.04914664412453229,0.08019943936799206,0.9985678947970038,222
69,msp,MSP,400,0.08870465308151783,0.08512448464519637,0.13890950372390182,0.9957036843910113,75
69,ncp_anf,NCP+ANF,400,0.8803095094975832,0.8906415979535685,0.9748181306243924,0.6102445404960322,276
69,p,P,400,3.263488357515111e-17,2.8609792490763984e-17,8.652347851348692e-17,1.0000000000000002,11
69,p_msp,P+MSP,400,0.06272366171674143,0.06019210033762849,0.09822385205442898,0.9978518421955057,86
69,pseeiip,PseEIIP,400,0.0,0.0,0.0,1.0000000000000002,64
69,pseknc_k3_l3,PseKNC,400,0.012068306984738073,0.00968926479853217,0.030755128378766435,0.9998783786096083,67
75,ck4,CK4,400,0.0,0.0,0.0,1.0000000000000002,136
75,ck4_msp,CK4+MSP,400,0.06141125048435334,0.06011114151889628,0.0909241387064846,0.9979660335485169,211
75,ck4_p,CK4+P,400,2.4807601516003848e-17,1.5732516979464565e-17,7.247138581966332e-17,1.0000000000000002,147
75,ck4p_msp,CK4P-MSP,400,0.050142076050970666,0.04908054152584151,0.07423924837764301,0.9986440223656778,222
75,msp,MSP,400,0.0868486233172638,0.0850099915857516,0.12858615010580304,0.9959320670970334,75
75,ncp_anf,NCP+ANF,400,0.8868642285082045,0.887607362900091,0.9997118870095923,0.6041883543087503,300
75,p,P,400,3.166042770405464e-17,2.7809732887839817e-17,1.2416825567295865e-16,1.0000000000000002,11
75,p_msp,P+MSP,400,0.06141125048435334,0.06011114151889628,0.09092413870648462,0.9979660335485169,86
75,pseeiip,PseEIIP,400,0.0,0.0,0.0,1.0000000000000002,64
75,pseknc_k3_l3,PseKNC,400,0.011961624900698903,0.01007631322416629,0.029350084408797484,0.9998822436808693,67
100,ck4,CK4,400,0.0,0.0,0.0,1.0000000000000002,136
100,ck4_msp,CK4+MSP,400,0.05444156284113055,0.053263442812913266,0.07983163669743554,0.998405445774178,211
100,ck4_p,CK4+P,400,3.236991663483046e-17,2.5018537765542006e-17,1.1864091355093144e-16,1.0000000000000002,147
100,ck4p_msp,CK4P-MSP,400,0.04445134992014504,0.04348941894518315,0.0651822584133205,0.9989369638494522,222
100,msp,MSP,400,0.07699199652671396,0.0753258832047057,0.11289898332395501,0.9968108915483562,75
100,ncp_anf,NCP+ANF,400,0.9169030957183861,0.9224311322080279,1.0077558926300596,0.577929838805967,400
100,p,P,400,4.082526368059984e-17,3.324623803672932e-17,1.3315837143275674e-16,1.0000000000000002,11
100,p_msp,P+MSP,400,0.05444156284113055,0.053263442812913266,0.07983163669743554,0.9984054457741781,86
100,pseeiip,PseEIIP,400,0.0,0.0,0.0,1.0,64
100,pseknc_k3_l3,PseKNC,400,0.011481172586643919,0.009364276919714257,0.02861645215101032,0.9998898390597099,67
150,ck4,CK4,400,0.0,0.0,0.0,1.0000000000000002,136
150,ck4_msp,CK4+MSP,400,0.04622996409261306,0.04507904004749674,0.06814028254028585,0.9988491919325599,211
150,ck4_p,CK4+P,400,4.434890996641054e-17,3.2321900409297514e-17,1.454947020686083e-16,1.0000000000000002,147
150,ck4p_msp,CK4P-MSP,400,0.037746607618030115,0.036806882070285124,0.05563630771759262,0.9992327946217067,222
150,msp,MSP,400,0.06537904220779459,0.0637513898139298,0.09636491171240685,0.9976983838651198,75
150,ncp_anf,NCP+ANF,400,0.9367833346263376,0.9428625994180877,1.0187936837675378,0.5596695214453267,600
150,p,P,400,5.309958753448e-17,4.1777673608052095e-17,1.4170206270044856e-16,1.0000000000000002,11
150,p_msp,P+MSP,400,0.04622996409261306,0.04507904004749674,0.06814028254028585,0.9988491919325599,86
150,pseeiip,PseEIIP,400,0.0,0.0,0.0,1.0000000000000002,64
150,pseknc_k3_l3,PseKNC,400,0.010681106006959724,0.0089982345309172,0.026569609770358726,0.9999090715913943,67
