representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
eiip_summary_l2,nearest_centroid,72,2,8,0.5454545454545454,0.5416666666666667,target_background,Burkholderia,69,clean,target_binary
eiip_summary_l2,logistic,72,2,8,0.6363636363636364,0.5416666666666666,target_background,Burkholderia,69,clean,target_binary
ck4,nearest_centroid,119,4,136,0.2777777777777778,0.2877054295818598,within_genus_species,Candida,69,clean,label
ck4,logistic,119,4,136,0.25,0.23827231121281464,within_genus_species,Candida,69,clean,label
ck4_p,nearest_centroid,119,4,147,0.2777777777777778,0.2877054295818598,within_genus_species,Candida,69,clean,label
ck4_p,logistic,119,4,147,0.3055555555555556,0.29038175148014966,within_genus_species,Candida,69,clean,label
ck4p_msp,nearest_centroid,119,4,222,0.2777777777777778,0.2877054295818598,within_genus_species,Candida,69,clean,label
ck4p_msp,logistic,119,4,222,0.3333333333333333,0.34963924963924964,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,nearest_centroid,119,4,500,0.3611111111111111,0.3321821152703506,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,logistic,119,4,500,0.25,0.21287593984962405,within_genus_species,Candida,69,clean,label
cspaced_count_l2,nearest_centroid,119,4,136,0.3611111111111111,0.2923534798534798,within_genus_species,Candida,69,clean,label
cspaced_count_l2,logistic,119,4,136,0.2777777777777778,0.22773279352226722,within_genus_species,Candida,69,clean,label
cspaced_property_l2,nearest_centroid,119,4,147,0.3333333333333333,0.27406162464985995,within_genus_species,Candida,69,clean,label
cspaced_property_l2,logistic,119,4,147,0.2777777777777778,0.22709551656920077,within_genus_species,Candida,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,119,4,647,0.3611111111111111,0.33495989304812834,within_genus_species,Candida,69,clean,label
hybrid_ckmer5_csp,logistic,119,4,647,0.2777777777777778,0.23235645933014354,within_genus_species,Candida,69,clean,label
minhash_k5_s128,nearest_centroid,119,4,128,0.2222222222222222,0.22562111801242235,within_genus_species,Candida,69,clean,label
minhash_k5_s128,logistic,119,4,128,0.3055555555555556,0.2685897435897436,within_genus_species,Candida,69,clean,label
eiip_l2,nearest_centroid,119,4,69,0.2777777777777778,0.2357456140350877,within_genus_species,Candida,69,clean,label
eiip_l2,logistic,119,4,69,0.3333333333333333,0.3159090909090909,within_genus_species,Candida,69,clean,label
eiip_summary_l2,nearest_centroid,119,4,8,0.19444444444444445,0.1621212121212121,within_genus_species,Candida,69,clean,label
