representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck7_pca147,CK7 PCA-147,logistic,72,3,49,0.22727272727272727,0.22857142857142856,within_genus_species,Burkholderia,69,clean,label
ck7_pca222,CK7 PCA-222,nearest_centroid,72,3,49,0.2727272727272727,0.26209150326797387,within_genus_species,Burkholderia,69,clean,label
ck7_pca222,CK7 PCA-222,logistic,72,3,49,0.22727272727272727,0.22857142857142856,within_genus_species,Burkholderia,69,clean,label
ck7_svd147,CK7 SVD-147,nearest_centroid,72,3,49,0.3181818181818182,0.3055555555555555,within_genus_species,Burkholderia,69,clean,label
ck7_svd147,CK7 SVD-147,logistic,72,3,49,0.22727272727272727,0.22237076648841356,within_genus_species,Burkholderia,69,clean,label
ck7_svd222,CK7 SVD-222,nearest_centroid,72,3,49,0.3181818181818182,0.3055555555555555,within_genus_species,Burkholderia,69,clean,label
ck7_svd222,CK7 SVD-222,logistic,72,3,49,0.22727272727272727,0.22237076648841356,within_genus_species,Burkholderia,69,clean,label
ck4,CK4,nearest_centroid,67,2,136,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck4,CK4,logistic,67,2,136,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck4_p,CK4+P,nearest_centroid,67,2,147,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck4_p,CK4+P,logistic,67,2,147,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,67,2,222,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,67,2,222,0.38095238095238093,0.27586206896551724,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,67,2,458,0.47619047619047616,0.4296296296296296,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,67,2,458,0.47619047619047616,0.4296296296296296,target_background,Burkholderia,69,clean,target_binary
ck5_pca147,CK5 PCA-147,nearest_centroid,67,2,45,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck5_pca147,CK5 PCA-147,logistic,67,2,45,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck5_pca222,CK5 PCA-222,nearest_centroid,67,2,45,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck5_pca222,CK5 PCA-222,logistic,67,2,45,0.42857142857142855,0.3942307692307692,target_background,Burkholderia,69,clean,target_binary
ck5_svd147,CK5 SVD-147,nearest_centroid,67,2,45,0.5238095238095238,0.4642857142857143,target_background,Burkholderia,69,clean,target_binary
ck5_svd147,CK5 SVD-147,logistic,67,2,45,0.5238095238095238,0.41666666666666663,target_background,Burkholderia,69,clean,target_binary
ck5_svd222,CK5 SVD-222,nearest_centroid,67,2,45,0.5238095238095238,0.4642857142857143,target_background,Burkholderia,69,clean,target_binary
ck5_svd222,CK5 SVD-222,logistic,67,2,45,0.5238095238095238,0.41666666666666663,target_background,Burkholderia,69,clean,target_binary
ck7_pca147,CK7 PCA-147,nearest_centroid,67,2,45,0.42857142857142855,0.41666666666666663,target_background,Burkholderia,69,clean,target_binary
ck7_pca147,CK7 PCA-147,logistic,67,2,45,0.2857142857142857,0.2791762013729977,target_background,Burkholderia,69,clean,target_binary
ck7_pca222,CK7 PCA-222,nearest_centroid,67,2,45,0.42857142857142855,0.41666666666666663,target_background,Burkholderia,69,clean,target_binary
ck7_pca222,CK7 PCA-222,logistic,67,2,45,0.2857142857142857,0.2791762013729977,target_background,Burkholderia,69,clean,target_binary
ck7_svd147,CK7 SVD-147,nearest_centroid,67,2,45,0.6190476190476191,0.475,target_background,Burkholderia,69,clean,target_binary
ck7_svd147,CK7 SVD-147,logistic,67,2,45,0.5238095238095238,0.41666666666666663,target_background,Burkholderia,69,clean,target_binary
ck7_svd222,CK7 SVD-222,nearest_centroid,67,2,45,0.6190476190476191,0.475,target_background,Burkholderia,69,clean,target_binary
ck7_svd222,CK7 SVD-222,logistic,67,2,45,0.5238095238095238,0.41666666666666663,target_background,Burkholderia,69,clean,target_binary
ck4,CK4,nearest_centroid,119,4,136,0.3055555555555556,0.3134004884004884,within_genus_species,Candida,69,clean,label
ck4,CK4,logistic,119,4,136,0.3611111111111111,0.36690433749257273,within_genus_species,Candida,69,clean,label
ck4_p,CK4+P,nearest_centroid,119,4,147,0.3055555555555556,0.3134004884004884,within_genus_species,Candida,69,clean,label
ck4_p,CK4+P,logistic,119,4,147,0.3333333333333333,0.31235380116959066,within_genus_species,Candida,69,clean,label
ck4p_msp,CK4P-MSP,nearest_centroid,119,4,222,0.3055555555555556,0.3134004884004884,within_genus_species,Candida,69,clean,label
ck4p_msp,CK4P-MSP,logistic,119,4,222,0.19444444444444445,0.15833333333333333,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,CK5,nearest_centroid,119,4,500,0.2777777777777778,0.23958810068649886,within_genus_species,Candida,69,clean,label
