task,contrast,candidate,baseline,interpretation,n_paired_cells,delta_macro_f1_mean,delta_macro_f1_ci95_low,delta_macro_f1_ci95_high,delta macro_f1 (95% CI),delta_accuracy_mean,delta_accuracy_ci95_low,delta_accuracy_ci95_high,delta accuracy (95% CI)
motif_jitter_position,property_channels - one_hot,property_channels,one_hot,per-position biochemical property channels versus per-position base identity,4,-0.01850794144801883,-0.05773381986492071,0.023299255877445302,"-0.019 [-0.058, 0.023]",-0.019791666666666666,-0.05833333333333335,0.020833333333333315,"-0.020 [-0.058, 0.021]"
motif_jitter_position,base_property - one_hot,base_property,one_hot,adding property channels to one-hot positional identity,4,0.00014313781244969237,-0.020512918777496517,0.029221742876429507,"0.000 [-0.021, 0.029]",-0.0010416666666666075,-0.020833333333333315,0.02604166666666674,"-0.001 [-0.021, 0.026]"
motif_jitter_position,rope_property - rope_onehot,rope_property,rope_onehot,property semantics under the same RoPE-like positional transform,4,-0.01367392578520163,-0.03071255503529985,0.00336470346489659,"-0.014 [-0.031, 0.003]",-0.011458333333333376,-0.027083333333333404,0.004166666666666652,"-0.011 [-0.027, 0.004]"
motif_jitter_position,kmer_property - ckmer5_count_l2,kmer_property,ckmer5_count_l2,position-resolved k-mer property sequence versus compact canonical k-mer counts,4,0.2497733709408782,0.24053510748617848,0.2589897505532329,"0.250 [0.241, 0.259]",0.2510416666666667,0.2416666666666667,0.26041666666666674,"0.251 [0.242, 0.260]"
same_spectrum_order,property_channels - one_hot,property_channels,one_hot,per-position biochemical property channels versus per-position base identity,4,-0.01252450980392153,-0.02188725490196064,-0.00313725490196079,"-0.013 [-0.022, -0.003]",-0.012500000000000011,-0.02187499999999995,-0.0031250000000000167,"-0.013 [-0.022, -0.003]"
same_spectrum_order,base_property - one_hot,base_property,one_hot,adding property channels to one-hot positional identity,4,-0.004710482433442464,-0.0062929101259270315,-0.0015732275314817579,"-0.005 [-0.006, -0.002]",-0.004687499999999983,-0.006249999999999978,-0.0015624999999999944,"-0.005 [-0.006, -0.002]"
same_spectrum_order,rope_property - rope_onehot,rope_property,rope_onehot,property semantics under the same RoPE-like positional transform,4,-0.0015732275314817579,-0.004719682594445274,0.0,"-0.002 [-0.005, 0.000]",-0.0015624999999999944,-0.004687499999999983,0.0,"-0.002 [-0.005, 0.000]"
same_spectrum_order,kmer_property - ckmer5_count_l2,kmer_property,ckmer5_count_l2,position-resolved k-mer property sequence versus compact canonical k-mer counts,4,-0.023469646656316512,-0.04071991259847049,-0.006256109481915906,"-0.023 [-0.041, -0.006]",-0.0234375,-0.04062500000000002,-0.006249999999999978,"-0.023 [-0.041, -0.006]"
