representation,n_cells,macro_f1_mean,macro_f1_ci95_low,macro_f1_ci95_high,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,representation_label,mean_features,macro-F1 (95% CI),accuracy (95% CI)
ckmer5_count_l2,8,0.7471731899514913,0.6249560020396439,0.8651430185311764,0.7569444444444444,0.638888888888889,0.875,canonical 5-mer,509.75,"0.747 [0.625, 0.865]","0.757 [0.639, 0.875]"
ckmer4_property_multiscale_mean_l2,8,0.7312476794977805,0.5894745717332877,0.8706990277188151,0.7430555555555556,0.6111111111111112,0.875,CK4P-MSP,222.0,"0.731 [0.589, 0.871]","0.743 [0.611, 0.875]"
kmer_property,8,0.6625792422232051,0.5217068406309893,0.8035709985748684,0.6666666666666667,0.5277777777777778,0.8055555555555556,position k-mer property,1288.0,"0.663 [0.522, 0.804]","0.667 [0.528, 0.806]"
property_channels,8,0.6159109477124183,0.5171405363132094,0.7140872248022015,0.6180555555555556,0.5208333333333333,0.7085069444444435,position property channels,422.5,"0.616 [0.517, 0.714]","0.618 [0.521, 0.709]"
rope_onehot,8,0.5948990122364735,0.4733795272494963,0.7151702786377709,0.5972222222222222,0.4722222222222222,0.7222222222222222,RoPE one-hot,1352.0,"0.595 [0.473, 0.715]","0.597 [0.472, 0.722]"
base_property,8,0.5760233918128654,0.45064929480564153,0.7011975404196766,0.5763888888888888,0.45138888888888884,0.7015624999999991,one-hot + property matrix,845.0,"0.576 [0.451, 0.701]","0.576 [0.451, 0.702]"
one_hot,8,0.5679313940488476,0.43562145252837975,0.6936715256277949,0.5694444444444444,0.4444444444444444,0.701388888888889,position one-hot,422.5,"0.568 [0.436, 0.694]","0.569 [0.444, 0.701]"
rope_property,8,0.5647286875276426,0.408095145953118,0.7213622291021671,0.5694444444444444,0.4236111111111111,0.7222222222222223,RoPE property,1352.0,"0.565 [0.408, 0.721]","0.569 [0.424, 0.722]"
