length,ck4_minus_method_l2_delta_mean,ck4_l2_delta_mean,ck4p_msp_l2_delta_mean,method_minus_ck4_paired_cosine_mean,ck4_paired_cosine_mean,ck4p_msp_paired_cosine_mean,method_minus_ck4_retrieval_top1_mean,ck4_retrieval_top1_mean,ck4p_msp_retrieval_top1_mean,length_regime,ck4_macro_f1,ck4p_msp_macro_f1,ck4p_msp_minus_ck4_macro_f1
50,0.11982973597555108,0.2938682965663111,0.17403856059076,0.03800414875431246,0.9416920071379984,0.9796961558923108,0.0,1.0,1.0,short_<=_75bp,0.9415233656260926,0.988188144043826,0.04666477841773342
51,0.11626015414110327,0.2851541114891641,0.1688939573480608,0.036145040247725246,0.9445402081914102,0.9806852484391354,0.0,1.0,1.0,short_<=_75bp,0.9296920034617406,0.9805391807675544,0.050847177305813784
52,0.11513442951994779,0.282288774683455,0.1671543451635072,0.035231616996204806,0.9459497055688504,0.9811813225650552,0.0,1.0,1.0,short_<=_75bp,0.9324579673452128,0.9826178146813308,0.050159847336118
53,0.11534926488285302,0.2822191099604993,0.1668698450776463,0.03487677874569939,0.9465432155435696,0.981419994289269,0.0,1.0,1.0,short_<=_75bp,0.944996824902034,0.978461092147089,0.033464267245055024
54,0.11466619253137089,0.2808303773863189,0.166164184854948,0.034097322229308724,0.9477193259108044,0.9818166481401132,0.0,1.0,1.0,short_<=_75bp,0.9603560988197972,0.9840166477026444,0.023660548882847188
55,0.11270466814165997,0.2758182764651055,0.1631136083234455,0.033333922557530316,0.948923509425259,0.9822574319827894,0.0,1.0,1.0,short_<=_75bp,0.9491456491527196,0.9861003829910876,0.036954733838368004
56,0.11285710377597721,0.275867589531999,0.1630104857560218,0.0332632184344428,0.9490628468224984,0.9823260652569412,0.0,1.0,1.0,short_<=_75bp,0.9456785198694324,0.98331992054094,0.03764140067150756
57,0.11061026614837868,0.2705216142252911,0.1599113480769124,0.03233847119093802,0.9504686342032036,0.9828071053941416,0.0,1.0,1.0,short_<=_75bp,0.9596526424389378,0.984017452233644,0.024364809794706233
58,0.11014303957225172,0.2692380555778066,0.1590950160055549,0.031328149083299284,0.9520253705580796,0.9833535196413788,0.0,1.0,1.0,short_<=_75bp,0.9686761184194372,0.9923580282137102,0.02368190979427298
59,0.1094004419672292,0.2669319080371656,0.1575314660699364,0.030959196726087823,0.9526410561387652,0.983600252864853,0.0,1.0,1.0,short_<=_75bp,0.9693809767167088,0.9833174944854784,0.013936517768769696
60,0.10752011388884028,0.2629776216498071,0.1554575077609668,0.029974796547818428,0.9540874244663282,0.9840622210141466,0.0,1.0,1.0,short_<=_75bp,0.975672850489282,0.9909672622927496,0.015294411803467578
61,0.10670861212382418,0.2604907705414233,0.1537821584175991,0.029436947131323832,0.9549609025673506,0.9843978496986744,0.0,1.0,1.0,short_<=_75bp,0.9631217874774388,0.9916626452532298,0.028540857775790962
62,0.10727287642339231,0.2616377989028346,0.1543649224794423,0.029433146413459954,0.9549861759125292,0.9844193223259892,0.0,1.0,1.0,short_<=_75bp,0.9707871279107684,0.99166264525323,0.020875517342461625
63,0.10455011218562782,0.2550996845928573,0.1505495724072295,0.02826918685146118,0.956761651278354,0.9850308381298152,0.0,1.0,1.0,short_<=_75bp,0.9714843810368752,0.9951371464626336,0.02365276542575845
64,0.10538357689241648,0.2569908657947704,0.1516072889023539,0.028187086070808998,0.9569001040088274,0.9850871900796364,0.0,1.0,1.0,short_<=_75bp,0.9652278426948452,0.9839988794135844,0.018771036718739254
65,0.10205270701034061,0.2487627129680853,0.1467100059577447,0.026761804762283403,0.9590842492274012,0.9858460539896846,0.0,1.0,1.0,short_<=_75bp,0.9679684914119288,0.988187336403528,0.020218844991599205
66,0.10343225138312212,0.2522249025671716,0.1487926511840495,0.02732466955238655,0.9582307160473524,0.985555385599739,0.0,1.0,1.0,short_<=_75bp,0.9686950469553752,0.9923564191517116,0.02366137219633635
67,0.1023891875468079,0.2493839674725965,0.1469947799257886,0.02659117478971318,0.9593702595980558,0.985961434387769,0.0,1.0,1.0,short_<=_75bp,0.9735575603486248,0.9909696758857476,0.01741211553712274
68,0.10064036282411479,0.2451953484135171,0.1445549855894023,0.026001484040940825,0.960269209770704,0.9862706938116448,0.0,1.0,1.0,short_<=_75bp,0.969396616874838,0.9881841126835128,0.01878749580867478
69,0.10000508185033291,0.2436351666272741,0.1436300847769412,0.02545659111648435,0.9610967601393876,0.986553351255872,0.0,1.0,1.0,short_<=_75bp,0.9707279068893546,0.9930534111741908,0.02232550428483615
70,0.10108656041675029,0.2460048957253879,0.1449183353086376,0.025691225611382373,0.9607692056403124,0.9864604312516948,0.0,1.0,1.0,short_<=_75bp,0.977041002254126,0.994443372564152,0.017402370310026005
71,0.09966122828151039,0.2423667993857783,0.1427055711042679,0.024691684597271113,0.9623083500699297,0.9870000346672008,0.0,1.0,1.0,short_<=_75bp,0.985399349632551,0.9958317248921146,0.010432375259563531
72,0.0995300112294496,0.2423776535283977,0.1428476422989481,0.024669400893881366,0.9623175676669372,0.9869869685608186,0.0,1.0,1.0,short_<=_75bp,0.9874935656143452,0.998610843141038,0.011117277526692781
73,0.0977435114285789,0.2377468248916014,0.1400033134630225,0.024168448226941197,0.9631141357210912,0.9872825839480324,0.0,1.0,1.0,short_<=_75bp,0.9819321078832022,0.9958317248921146,0.013899617008912402
74,0.09595793133138311,0.2334095667117717,0.1374516353803886,0.02321059062226072,0.9645670500003029,0.9877776406225636,0.0,1.0,1.0,short_<=_75bp,0.980528441457295,0.996527107852595,0.01599866639530001
75,0.0968058955440303,0.2353800835998452,0.1385741880558149,0.023424141665255527,0.9642538701011188,0.9876780117663744,0.0,1.0,1.0,short_<=_75bp,0.9819259178149212,0.9930526066431912,0.011126688828269948
100,0.08735085607922596,0.21291199815902706,0.1255611420798011,0.018279827027574913,0.9720089380568743,0.9902887650844492,0.0,0.9995833333333334,0.9995833333333334,long_>_75bp,,,
125,0.0816331551079478,0.19922637136295,0.11759321625500219,0.015849638747295947,0.9756762634940218,0.9915259022413178,0.0,1.0,1.0,long_>_75bp,,,
150,0.07356312153203734,0.17919387896854375,0.1056307574365064,0.01253243973803242,0.9808017874421698,0.9933342271802023,0.0,1.0,1.0,long_>_75bp,,,
