representation,representation_label,wgs_l2,wgs_retrieval,local_macro_f1,motif_macro_f1,art_l2,cami_mean_retention
ck4,CK4,0.21803578410635627,1.0,0.8857270698371466,0.6580774238444083,0.274165884863004,1.0002509191624926
ck5,CK5,0.2921841270754332,1.0,0.8537401889335673,0.6860994644171284,0.36227845754829124,0.9912217266961652
ck4p_msp,CK4P-MSP,0.1285066096615946,1.0,0.8882007720066482,0.6322556705654582,0.15920640845188977,0.9907658896453213
ck4p_msp_pkm_w025,CK4P-MSP-PKM,0.13742863741250033,1.0,0.9282803916805178,0.710275154004627,0.16715080189454587,0.9907371297778053
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",0.11641258752271012,1.0,0.8433945770658645,0.5930452899995234,0.14806382139172752,0.9912938832815279
pseeiip,PseEIIP,0.16187882693286684,1.0,0.8314509511445163,0.6042303860563562,0.20285771378882078,1.0030224526366285
ncp_anf,NCP+ANF,0.22646359197858354,0.979375,0.9766467532767601,0.870016325647369,0.1534433628987521,0.9583108601547817
