length,local_mode,representation,representation_label,n_features,n_triplets,noise_l2_mean,local_l2_mean,macro_f1,macro_f1_sd,accuracy
100,left,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.17644543238510857,0.13472154278417844,0.9056987022893409,0.03629193929885715,0.906
100,left,pseeiip,PseEIIP,64,250,0.2637120198579569,0.20124566134299898,0.8814665874314949,0.038079526604696046,0.882
100,left,ncp_anf,NCP+ANF,400,250,0.19608506522045838,0.19600500043097768,1.0,0.0,1.0
100,right,ck4,CK4,136,250,0.36582897469832987,0.26906864423475063,0.9375697027120005,0.03170090847728134,0.938
100,right,ck5,CK5,512,250,0.4907267611273535,0.3515559058998891,0.907272114491899,0.007594112914807908,0.908
100,right,ck4p_msp,CK4P-MSP,222,250,0.21151656623910817,0.15596974348221784,0.9376077011400851,0.028253066999242356,0.938
100,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22072384922674207,0.1602207493789605,0.9497214364381433,0.03070461988924004,0.95
100,right,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.1768521886425119,0.1356052795019633,0.8751976510308394,0.017439692185324655,0.876
100,right,pseeiip,PseEIIP,64,250,0.2638703237058364,0.2008164467622987,0.8393173990570807,0.025779920412803376,0.8400000000000001
100,right,ncp_anf,NCP+ANF,400,250,0.19533306136972706,0.19405790771492695,1.0,0.0,1.0
150,center,ck4,CK4,136,250,0.30994381648640296,0.21010735792032445,0.9639229751165732,0.016328573889093485,0.9640000000000001
150,center,ck5,CK5,512,250,0.4448715535491976,0.29028003103691014,0.9679426691620808,0.01605424645351295,0.968
150,center,ck4p_msp,CK4P-MSP,222,250,0.17916978484237348,0.12179577919949845,0.9679366178806486,0.017279195451306482,0.968
150,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.18865433108626564,0.12351135156043562,0.9799763697584236,0.01675498644144348,0.9799999999999999
150,center,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.13768238986229675,0.09984287230402819,0.9377623200227712,0.013393393404896576,0.938
150,center,pseeiip,PseEIIP,64,250,0.21499699565534455,0.15505704999549375,0.9237772128747734,0.018616673319503098,0.9239999999999998
150,center,ncp_anf,NCP+ANF,600,250,0.18446667489284213,0.1836635408220454,1.0,0.0,1.0
150,jittered,ck4,CK4,136,250,0.31225718309533473,0.21255531130394195,0.9719623269543444,0.01330846390100604,0.9719999999999999
150,jittered,ck5,CK5,512,250,0.44650024393997756,0.29230347728376294,0.973985388930726,0.0049043826326097785,0.9739999999999999
150,jittered,ck4p_msp,CK4P-MSP,222,250,0.18049840290225805,0.12317928201522645,0.9739661311784662,0.013608952784753667,0.974
150,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19048436883857514,0.12598734720700755,0.9839923944353599,0.008009809125884766,0.984
150,jittered,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.13885395768480224,0.10045666031097493,0.9478563012579115,0.01335524342576198,0.9480000000000001
150,jittered,pseeiip,PseEIIP,64,250,0.21621785415794467,0.1556476026283448,0.9297485750567782,0.021058617520702733,0.93
150,jittered,ncp_anf,NCP+ANF,600,250,0.18466105775200825,0.18404561077435797,0.9059773828458418,0.03440482552694715,0.906
150,left,ck4,CK4,136,250,0.3137563124457289,0.21139441486179694,0.979987189590984,0.008955910618377909,0.9800000000000001
150,left,ck5,CK5,512,250,0.44580491770460856,0.29098627524451603,0.975961516770532,0.01748425563265869,0.976
150,left,ck4p_msp,CK4P-MSP,222,250,0.18135675194209183,0.12250502026304397,0.979987189590984,0.008955910618377909,0.9800000000000001
150,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19098165643255544,0.1266356922518958,0.9859949980592297,0.00800350151499776,0.986
150,left,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.1412125614785749,0.09971802974565673,0.959911755244009,0.014215101354110119,0.96
150,left,pseeiip,PseEIIP,64,250,0.2204955187050516,0.15476180693020494,0.9358728570292835,0.01501425806252363,0.9359999999999999
150,left,ncp_anf,NCP+ANF,600,250,0.18493857068846037,0.1847532554232754,1.0,0.0,1.0
150,right,ck4,CK4,136,250,0.315788831718552,0.2107181548577805,0.9659171601083868,0.021614163437918693,0.966
150,right,ck5,CK5,512,250,0.44886524322398735,0.29179899871334875,0.9779761697384217,0.014718364036590199,0.978
150,right,ck4p_msp,CK4P-MSP,222,250,0.18253781728170287,0.12212616957307014,0.9679354535336401,0.019441557907647924,0.968
150,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.19214321625082167,0.12621514108744966,0.9779761697384217,0.014718364036590199,0.978
150,right,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.1398879426543574,0.09991322310851464,0.9497920743339062,0.02216750397321494,0.95
150,right,pseeiip,PseEIIP,64,250,0.21772341805202108,0.1548371053606103,0.9438147638233451,0.013715563865211363,0.944
150,right,ncp_anf,NCP+ANF,600,250,0.18407261783176163,0.18324935180850152,1.0,0.0,1.0
