length,local_mode,representation,representation_label,n_features,n_triplets,noise_l2_mean,local_l2_mean,macro_f1,macro_f1_sd,accuracy
69,center,ck4,CK4,136,250,0.3895174210376605,0.3156722485798154,0.7955806043950258,0.05181758053424252,0.796
69,center,ck5,CK5,512,250,0.4983299745678193,0.40331164710926876,0.6773465244952931,0.023055991397592925,0.678
69,center,ck4p_msp,CK4P-MSP,222,250,0.22529572709555212,0.18308783037220677,0.9739745690981655,0.010218626331299939,0.9739999999999999
69,center,candidate_pkm_replace,PKM replace (222D),222,250,0.3448883931411275,0.2273707308416525,0.9177603497046729,0.011801682966839849,0.9179999999999999
69,center,candidate_cpkm_replace,CPKM replace (222D),222,250,0.36212340156255884,0.23811194967328242,0.9037550423124643,0.020744997344937007,0.9039999999999999
69,center,candidate_pkm_augment,PKM augmentation screen (297D),297,250,0.29888862467906463,0.19738548171579035,0.9759783733222873,0.010219805769999785,0.976
69,center,candidate_cpkm_augment,CPKM augmentation screen (297D),297,250,0.3138070063330873,0.2066592084572497,0.9759675317987204,0.015011540761978918,0.976
69,center,candidate_dual_augment,PKM-CPKM upper screen (372D),372,250,0.34578462720157394,0.21291542301023017,0.9759807769261549,0.008022439745128774,0.976
69,jittered,ck4,CK4,136,250,0.3855079005635833,0.3197538303429176,0.7255860642268139,0.042818289284704616,0.726
69,jittered,ck5,CK5,512,250,0.49370306143416703,0.4055911761897161,0.6489557671812141,0.036495833826777575,0.65
69,jittered,ck4p_msp,CK4P-MSP,222,250,0.22297874788898017,0.18538111053049083,0.8976557023065943,0.025032791594005822,0.898
69,jittered,candidate_pkm_replace,PKM replace (222D),222,250,0.3547525629274427,0.24626326185109132,0.8378055281727883,0.02401068048590376,0.8380000000000001
69,jittered,candidate_cpkm_replace,CPKM replace (222D),222,250,0.36610207807462825,0.25291894019650973,0.837421788082036,0.04097166873817736,0.8379999999999999
69,jittered,candidate_pkm_augment,PKM augmentation screen (297D),297,250,0.30742116190214774,0.2137156034653746,0.8937565605396616,0.025902318854908204,0.8940000000000001
69,jittered,candidate_cpkm_augment,CPKM augmentation screen (297D),297,250,0.3172427397954071,0.21945799078551206,0.891601872402236,0.05293503793924659,0.892
69,jittered,candidate_dual_augment,PKM-CPKM upper screen (372D),372,250,0.35510363626091646,0.23369935151084542,0.8895661010244599,0.053569577374984065,0.89
69,left,ck4,CK4,136,250,0.388581658341953,0.3173364717719479,0.7711475392004168,0.04596741296189939,0.772
69,left,ck5,CK5,512,250,0.4988432811764359,0.4051835562759423,0.6989817553463854,0.035663870824687936,0.7
69,left,ck4p_msp,CK4P-MSP,222,250,0.2247745739427872,0.18398809474649053,0.9839911938351078,0.010206597892610593,0.984
69,left,candidate_pkm_replace,PKM replace (222D),222,250,0.3467707361974776,0.2597934594024906,0.8196343558103916,0.027991926101690875,0.82
69,left,candidate_cpkm_replace,CPKM replace (222D),222,250,0.35867874318464976,0.27707690685780917,0.7909955360523264,0.026418541901611563,0.7919999999999999
69,left,candidate_pkm_augment,PKM augmentation screen (297D),297,250,0.30052995058994275,0.2253838383697414,0.98399239443536,0.008009809125884764,0.984
69,left,candidate_cpkm_augment,CPKM augmentation screen (297D),297,250,0.310835062745667,0.2403124501309731,0.9839947980392276,0.004902410290512393,0.984
69,left,candidate_dual_augment,PKM-CPKM upper screen (372D),372,250,0.34492969823593217,0.2586206006653581,0.98399239443536,0.008009809125884764,0.984
69,right,ck4,CK4,136,250,0.3829396100743716,0.31796278039808784,0.7497843183730689,0.0296155723010466,0.75
69,right,ck5,CK5,512,250,0.49500455851233743,0.4055212989329691,0.7369976234283061,0.05902823616225755,0.7380000000000001
69,right,ck4p_msp,CK4P-MSP,222,250,0.2215141166591312,0.18434763199627963,0.981987389610986,0.011673165031177182,0.982
69,right,candidate_pkm_replace,PKM replace (222D),222,250,0.3467603361825228,0.26112966098044116,0.8313438630276089,0.02283705945222649,0.8320000000000001
69,right,candidate_cpkm_replace,CPKM replace (222D),222,250,0.3543461433880205,0.27283120567238894,0.8117371095842957,0.024720032300120504,0.8119999999999999
69,right,candidate_pkm_augment,PKM augmentation screen (297D),297,250,0.30051205670307796,0.22656257965888305,0.9839947980392276,0.004902410290512393,0.984
69,right,candidate_cpkm_augment,CPKM augmentation screen (297D),297,250,0.3070756525344576,0.23667066917032112,0.9839935974389755,0.00800320128051224,0.984
