representation,representation_label,n_features,wgs_l2,wgs_retrieval,local_macro_f1,motif_macro_f1,art_l2,cami_mean_retention,runtime_seconds,motif_gain_vs_main,wgs_l2_change_vs_main,wgs_retrieval_change_vs_main,local_f1_change_vs_main,art_l2_change_vs_main,cami_retention_change_vs_main,runtime_ratio_vs_main,screen_pass_motif,screen_pass_wgs_l2,screen_pass_retrieval,screen_pass_local,screen_pass_art,screen_pass_cami,screen_pass_runtime,eligible_for_independent_confirmation
ck4,CK4,136,0.21880427162041394,0.9998333333333332,0.8922999894700521,0.6580774238444083,0.2709008699833184,0.9895715856534777,,0.025821753278950088,0.08987681822436641,-8.333333333343518e-05,-0.08633039590383396,0.11370702305777172,-0.0014562739355546972,,True,False,True,False,False,True,False,False
ck5,CK5,512,0.29323453778029274,0.9998333333333332,0.8662633312302729,0.6860994644171284,0.3582605721936466,0.9894556685606577,,0.05384379385167026,0.1643070843842452,-8.333333333343518e-05,-0.11236705414361314,0.2010667252680999,-0.001572191028374692,,True,False,True,False,False,True,False,False
ck4p_msp,CK4P-MSP,222,0.12892745339604753,0.9999166666666667,0.978630385373886,0.6322556705654582,0.1571938469255467,0.9910278595890324,0.7977910499903373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,True,True,True,True,True,True,False
candidate_pkm_replace,PKM replace (222D),222,0.2377156888179445,0.9999166666666667,0.9346930226055199,0.7479080793465106,0.2680117158670269,0.9977279788598421,1.9654335000086576,0.11565240878105243,0.10878823542189697,0.0,-0.04393736276836613,0.11081786894148019,0.006700119270809712,2.463594320884475,True,False,True,False,False,True,False,False
candidate_cpkm_replace,CPKM replace (222D),222,0.2503766487236962,0.9999166666666667,0.9303130651727441,0.7919960022717977,0.2786660483643456,0.9853804962597709,15.521630949981045,0.1597403317063395,0.12144919532764867,0.0,-0.04831732020114188,0.12147220143879892,-0.005647363329261523,19.455759688165266,True,False,True,False,False,True,False,False
candidate_pkm_augment,PKM augmentation screen (297D),297,0.20639228202194385,0.9999166666666667,0.9796408587415971,0.7435233620596178,0.2322114270689033,0.996388246122424,2.2817698500002734,0.1112676914941596,0.07746482862589632,0.0,0.0010104733677110955,0.0750175801433566,0.005360386533391659,2.8601096114426325,True,False,True,True,False,True,False,False
candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.21732760397842676,0.9999166666666667,0.9789597136129372,0.7884196431074617,0.24143096839540754,0.9860310352202468,15.445741150004324,0.15616397254200354,0.08840015058237924,0.0,0.00032932823905118536,0.08423712146986084,-0.0049968243687855685,19.360634780487196,True,False,True,True,False,True,False,False
candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.24826222339987794,0.9998333333333332,0.9806258880462401,0.7817551496853422,0.27377124593558855,0.9937012170366797,17.10864654998295,0.14949947911988404,0.11933477000383041,-8.333333333343518e-05,0.0019955026723540437,0.11657739901004185,0.0026733574476472954,21.44502191418438,True,False,True,True,False,True,False,False
